age,numpurch,totdol,female,res,adB
43,2,568,0,0,0
32,2,97,1,0,1
39,4,2070,0,0,0
33,1,233,1,0,1
46,7,3025,0,1,0
37,1,54,0,0,0
39,2,51,1,0,1
36,1,53,1,0,1
42,1,91,1,0,0
38,2,78,0,0,1
30,1,251,1,0,0
36,2,84,0,0,1
41,2,435,0,1,0
35,2,317,0,0,1
35,2,53,1,0,1
39,2,52,1,0,0
41,1,87,0,0,0
41,2,679,0,1,0
39,2,52,0,0,0
37,2,87,1,0,1
35,2,486,0,0,1
39,4,451,1,0,1
33,5,1339,1,0,1
35,1,56,0,0,0
39,6,2402,1,1,0
37,1,238,0,0,1
43,4,1088,1,1,0
28,2,77,1,0,0
40,1,55,1,0,1
35,2,74,0,0,0
42,3,558,1,0,1
47,2,53,1,0,0
38,2,465,0,0,0
43,2,254,0,0,0
34,2,60,0,0,1
41,2,647,0,0,1
32,1,52,0,0,1
40,1,80,1,0,1
39,2,1235,1,1,1
34,2,231,1,1,1
35,1,73,0,0,1
42,3,183,0,1,1
41,3,1698,0,0,1
33,1,55,0,0,1
30,1,73,0,0,1
39,1,122,1,0,1
41,1,87,1,0,1
43,3,210,0,0,0
36,1,65,1,0,1
34,2,105,0,0,0
34,2,63,1,0,0
39,2,54,1,0,1
38,1,70,1,0,0
37,1,58,0,0,0
41,2,268,0,0,1
35,1,60,1,0,0
39,1,53,1,1,0
45,3,1126,0,1,1
34,2,62,1,0,0
38,1,57,0,0,0
42,1,400,1,0,1
38,1,195,1,1,0
38,2,363,0,0,1
33,2,55,0,0,0
42,2,56,0,0,1
39,1,51,1,0,1
34,1,715,0,0,0
38,1,142,1,0,1
42,1,841,0,0,1
34,2,461,0,0,0
44,1,67,1,0,0
42,1,103,1,0,1
36,3,608,0,0,0
34,8,7076,0,1,0
41,1,194,1,1,1
44,2,73,1,0,1
40,1,251,0,1,1
36,2,973,1,0,1
39,1,277,1,0,0
32,1,52,0,0,0
38,2,121,1,0,1
41,2,57,1,0,1
40,2,57,0,0,1
37,1,60,0,0,0
35,1,52,0,0,1
37,2,341,1,0,1
38,1,53,1,0,1
37,1,60,0,0,0
37,2,104,1,0,1
39,3,75,1,0,1
29,1,68,1,0,0
39,1,83,0,0,1
41,2,435,0,0,0
37,1,195,0,0,1
32,1,50,0,0,0
39,1,50,1,0,1
35,1,66,1,0,0
37,1,84,0,0,0
36,2,76,1,0,1
42,1,52,1,0,0
37,3,841,1,0,1
42,1,400,1,0,1
39,1,95,1,0,0
38,2,53,1,0,1
39,2,51,1,0,0
44,1,84,1,0,1
40,2,81,0,0,0
37,3,80,0,1,1
41,1,229,1,0,0
36,2,53,0,0,0
36,2,57,1,0,0
41,1,73,1,0,1
35,1,89,0,0,0
41,1,87,1,0,1
37,2,184,1,0,0
40,2,389,1,0,1
33,1,75,1,0,1
34,3,546,1,0,0
36,1,60,0,0,1
33,1,57,1,1,0
39,1,69,1,0,1
35,2,174,1,0,1
38,1,55,1,0,1
46,1,72,1,0,1
36,1,64,1,0,0
35,1,72,0,0,1
44,1,62,0,0,0
42,2,229,1,0,1
32,2,257,0,0,0
41,1,95,1,0,0
38,1,63,1,0,1
38,2,152,0,0,0
40,1,80,1,0,1
37,1,51,1,0,1
39,2,58,0,0,1
40,2,69,1,0,0
43,1,51,0,0,0
38,1,268,0,0,1
32,2,224,1,0,1
42,2,194,0,0,0
33,1,55,0,0,1
32,1,67,1,0,1
30,1,55,0,0,1
35,1,92,0,0,1
31,2,79,0,1,1
44,1,64,1,1,0
44,1,54,0,0,0
39,2,63,0,0,1
36,1,129,0,0,0
33,1,51,1,0,1
42,8,5988,1,1,0
36,3,553,1,0,0
36,2,79,0,0,1
32,2,53,1,0,1
42,2,70,1,0,0
38,1,60,0,0,1
31,2,54,0,0,1
33,2,54,0,0,1
37,3,526,0,0,0
38,1,139,1,0,0
40,3,54,0,0,0
41,2,100,0,0,0
41,1,54,1,0,1
32,1,68,1,0,1
32,2,54,1,0,1
31,1,53,1,0,1
41,2,69,1,0,0
39,1,388,1,0,1
42,1,80,1,0,1
41,1,73,1,0,1
45,1,66,0,0,1
37,2,87,1,0,0
33,2,75,0,0,1
37,2,939,0,0,0
47,2,53,1,0,0
35,1,144,0,0,0
34,2,51,1,0,1
38,3,328,1,0,0
34,8,7076,1,1,1
34,1,715,1,0,1
40,1,413,1,0,1
42,3,207,1,0,0
45,1,62,0,0,0
37,5,1221,0,0,1
40,2,101,1,0,0
31,1,59,0,0,1
35,2,182,1,0,1
37,1,52,1,0,1
34,1,73,0,0,1
40,3,54,1,1,0
39,1,52,1,0,1
39,4,1403,0,0,0
37,2,184,0,0,1
32,2,61,1,0,0
32,1,68,1,0,1
40,5,1950,0,1,1
32,1,75,1,0,0
37,2,80,1,0,0
40,1,75,1,0,1
38,1,75,1,0,0
37,1,125,0,0,0
37,2,172,0,0,0
35,2,497,0,0,0
42,2,708,1,0,0
54,8,5295,0,1,1
45,2,64,1,0,0
37,2,373,0,0,1
36,3,549,0,0,1
43,3,210,1,0,1
30,1,52,0,0,0
42,3,183,0,0,0
40,2,156,0,0,1
38,2,141,1,0,1
35,2,317,1,1,0
32,2,97,0,0,1
42,2,58,1,0,0
41,1,72,1,0,0
38,2,77,1,0,1
38,1,58,0,0,0
40,1,55,0,0,0
36,1,373,1,0,1
33,1,55,0,0,1
34,1,75,1,0,1
38,1,60,1,0,1
41,1,54,0,0,0
32,1,59,1,0,1
36,1,204,1,0,1
36,1,373,0,0,0
43,1,59,1,0,0
38,1,58,0,0,1
37,4,592,0,1,1
35,1,56,1,0,0
48,2,60,0,0,1
43,1,84,0,1,1
33,1,59,0,0,0
42,2,511,1,0,1
40,1,55,0,0,0
43,4,1088,1,1,0
33,2,65,1,0,1
38,1,195,0,0,1
36,3,611,0,0,1
54,6,2286,1,1,1
38,1,57,1,0,1
32,2,484,1,0,1
35,2,238,0,1,1
38,1,109,0,0,0
35,2,238,1,0,1
38,2,76,0,0,0
39,1,73,0,0,1
31,2,61,0,0,1
32,1,187,1,1,0
35,1,74,1,0,0
42,1,141,1,1,1
37,1,238,1,1,0
37,1,84,0,0,0
42,1,63,1,0,0
36,2,51,0,0,0
40,1,164,0,0,0
34,2,231,1,0,0
37,2,63,0,1,1
40,1,211,0,0,0
35,8,4287,0,0,1
41,1,125,1,0,0
38,1,55,1,0,1
38,1,65,1,0,0
41,2,59,1,0,1
35,2,65,1,0,1
41,2,69,0,1,1
37,1,89,0,1,1
43,2,50,1,0,1
38,1,55,1,0,0
35,2,486,1,0,1
35,2,55,1,0,0
40,1,413,1,0,1
45,1,52,0,0,0
45,1,64,1,0,1
37,1,79,1,0,0
39,2,698,1,0,1
44,1,55,0,0,1
39,2,63,0,0,1
35,1,55,1,0,1
37,2,112,1,0,1
40,1,52,1,0,1
32,2,56,0,0,1
33,1,118,0,0,0
35,1,53,0,0,1
38,1,63,1,1,1
34,3,292,1,0,0
43,1,51,1,0,0
41,4,783,0,0,1
40,2,1173,1,0,0
32,2,58,0,0,1
35,1,73,0,0,1
40,2,74,1,0,1
33,1,55,1,0,1
37,2,55,1,0,1
36,1,373,1,0,0
35,2,486,1,0,1
41,2,905,1,0,1
55,8,4339,0,1,1
44,6,3186,0,0,1
43,2,305,1,0,1
29,2,73,0,0,1
39,1,95,0,0,0
40,1,61,1,0,0
40,2,358,0,0,0
36,1,64,1,0,1
42,2,194,1,0,1
41,2,54,0,0,0
36,2,497,0,0,1
39,2,609,0,0,0
31,1,53,0,0,1
35,7,2731,0,1,0
38,1,129,1,0,1
35,1,68,1,0,0
38,2,54,1,0,1
41,1,53,0,0,0
45,2,109,1,0,1
36,5,1653,0,0,1
41,2,51,0,0,0
45,1,66,1,0,0
37,4,457,0,1,0
37,2,69,0,0,1
42,1,400,0,0,1
37,1,117,1,0,1
34,8,7076,1,1,0
38,1,52,1,1,0
43,2,568,0,1,1
34,3,546,1,0,1
35,2,238,1,0,1
40,2,421,1,0,1
36,1,111,0,0,0
35,2,497,0,0,1
37,1,70,0,0,0
36,2,57,1,0,1
37,5,1764,0,1,1
42,2,58,0,0,0
44,1,64,1,1,1
29,1,52,1,1,0
33,2,54,0,0,0
33,1,58,0,0,1
36,3,549,1,0,0
40,1,68,0,0,1
33,1,233,0,0,1
39,4,2070,0,0,0
35,1,56,0,0,0
38,2,63,0,0,0
30,1,55,0,0,1
31,2,54,0,0,0
42,2,64,1,0,0
33,1,83,1,0,0
37,1,72,0,0,0
35,1,57,1,1,0
33,2,223,0,0,0
54,1,241,0,0,1
39,1,247,0,0,1
37,7,3999,1,1,0
37,2,53,1,0,1
40,2,87,0,0,1
41,1,59,0,0,0
41,1,101,0,0,0
36,4,1057,1,1,0
31,2,79,1,0,0
30,1,54,1,0,1
31,1,53,0,0,1
34,1,406,1,0,1
31,4,247,1,0,1
35,1,83,0,0,0
40,2,261,0,0,1
42,2,65,1,1,1
41,4,1185,0,1,0
39,3,67,0,1,0
41,1,64,0,0,0
38,1,52,1,0,0
36,1,56,0,0,1
36,1,56,0,0,1
44,3,710,1,1,1
36,1,68,0,0,1
37,2,355,0,1,0
23,1,68,1,0,0
42,1,59,1,0,0
34,2,57,0,0,0
36,3,1254,0,0,0
35,1,89,1,0,0
37,1,81,0,0,0
32,1,217,1,0,0
35,1,59,0,0,0
44,1,62,0,0,0
33,1,54,1,0,1
25,1,627,0,0,1
41,1,263,1,0,0
35,2,317,1,0,1
39,2,539,1,0,0
36,1,54,0,0,1
46,1,65,0,0,0
40,2,67,1,0,1
37,1,235,0,0,0
35,2,55,1,0,1
41,2,175,1,0,0
36,1,64,1,0,0
40,1,211,1,0,0
41,1,229,0,0,0
35,2,95,0,0,0
28,1,79,1,0,1
41,1,82,0,0,1
39,1,388,1,0,1
40,3,65,0,0,0
39,1,55,1,1,0
39,1,247,0,0,1
34,1,59,0,0,0
31,1,78,0,0,0
32,1,55,1,0,0
41,1,59,1,0,0
41,2,118,0,0,1
32,1,75,0,0,1
44,1,66,0,0,1
40,1,66,1,0,0
38,1,59,0,0,0
31,2,54,0,0,1
38,1,58,0,1,1
38,6,2744,0,1,1
33,2,93,0,0,1
43,1,104,0,0,0
42,1,67,1,0,1
41,2,60,0,0,1
40,2,81,0,0,1
31,1,54,0,0,0
34,2,551,1,0,0
39,2,51,0,0,0
36,2,258,0,0,0
33,2,100,1,0,1
31,1,56,0,0,0
32,1,52,0,0,1
38,1,286,0,0,1
35,2,60,1,0,1
38,2,76,0,0,1
33,2,91,0,0,0
37,1,84,1,0,1
34,1,406,1,0,1
37,2,104,0,0,1
35,1,89,1,0,1
39,1,67,0,0,0
37,1,203,1,0,1
39,4,451,0,0,1
37,1,71,0,0,0
51,5,1147,1,0,1
35,1,62,1,0,0
55,8,4339,0,1,0
36,1,70,0,0,1
41,1,55,0,0,0
41,1,58,1,0,1
43,1,53,1,1,0
39,2,77,1,0,0
41,10,5330,1,1,0
42,2,236,1,0,0
31,1,54,1,0,0
38,2,363,0,0,1
40,1,80,0,0,0
41,1,59,0,1,1
31,2,437,0,0,1
39,1,61,0,0,0
49,6,2076,0,1,1
40,1,58,1,0,0
36,1,204,1,0,1
31,1,78,1,0,0
34,1,65,1,0,1
38,3,186,0,0,1
47,2,53,1,0,1
41,2,62,1,0,0
41,4,783,0,0,0
38,2,363,0,0,1
44,1,210,1,0,1
44,2,68,0,0,0
42,8,5988,1,1,0
34,5,1350,0,0,1
43,2,58,0,0,0
38,1,60,1,0,0
41,1,61,1,0,1
41,1,94,0,0,0
40,1,90,0,0,0
41,1,180,0,0,1
44,2,55,0,0,0
39,2,609,0,0,1
40,1,95,0,0,1
35,1,54,0,0,0
36,2,51,1,0,1
37,2,459,0,0,0
44,6,2297,0,1,1
40,2,167,0,0,0
43,2,53,0,0,1
40,1,140,1,0,0
38,1,59,1,1,0
41,1,263,1,0,1
41,2,57,0,0,0
35,4,1059,0,0,1
36,1,56,1,0,1
38,1,63,0,0,0
34,1,406,1,0,0
34,1,187,0,0,1
29,2,73,0,0,0
37,1,57,0,0,1
38,1,65,1,0,1
33,2,100,1,0,1
32,1,91,0,0,0
33,1,219,0,0,0
36,1,373,1,0,0
33,1,83,0,0,1
35,1,150,0,1,0
34,1,53,1,0,0
42,1,51,1,0,1
38,3,186,1,0,1
40,1,76,0,0,1
39,1,54,1,0,0
36,1,332,1,0,1
33,2,359,0,0,0
37,5,1221,0,1,1
41,1,178,1,1,0
31,1,57,1,0,0
37,3,260,1,0,1
38,2,160,1,0,1
34,1,59,0,0,1
39,1,261,0,0,1
38,2,160,0,0,0
31,1,52,1,0,0
36,5,1653,0,0,0
42,1,91,0,0,0
38,2,199,0,1,1
36,1,437,0,0,0
37,1,64,0,0,0
42,2,474,0,0,1
39,4,451,1,0,1
37,2,373,1,0,1
33,1,52,1,0,1
41,1,180,0,0,1
33,1,55,0,0,1
35,1,150,1,1,0
34,1,596,0,0,0
35,1,70,0,0,1
36,1,313,0,0,1
47,12,8430,0,1,0
40,2,261,1,0,1
33,2,359,0,0,1
33,1,54,1,1,1
25,1,51,0,0,1
37,2,176,0,0,1
44,1,67,0,0,1
40,1,60,1,0,1
39,2,52,0,0,0
37,1,120,0,0,1
38,2,465,0,0,0
36,1,77,0,0,1
36,1,313,0,1,1
38,6,2744,0,1,1
37,1,263,1,0,0
42,1,84,0,0,1
41,2,78,0,0,1
40,2,81,0,0,1
37,1,80,1,0,0
40,2,254,0,0,0
37,6,2620,0,1,1
40,1,131,1,1,0
37,2,69,0,0,0
42,2,62,0,1,1
39,1,60,0,0,1
39,1,55,1,1,0
42,2,79,1,0,1
33,1,98,1,0,1
35,1,56,1,0,1
39,2,52,1,0,0
43,2,62,0,0,0
43,2,166,0,0,0
36,2,59,0,0,1
37,2,172,1,0,0
41,1,224,1,0,1
44,2,68,1,0,1
35,2,51,1,0,1
39,2,698,1,0,1
44,1,76,1,0,1
35,1,57,0,0,0
33,1,250,0,0,0
35,1,68,0,1,1
39,2,60,1,0,1
38,1,52,0,0,0
40,4,302,0,1,0
38,1,53,1,0,0
41,1,94,0,0,1
37,2,65,1,1,1
43,1,51,0,0,1
37,2,355,0,0,1
35,2,68,0,0,0
35,1,55,0,0,0
36,2,84,0,0,1
30,1,73,1,0,0
41,1,101,1,0,1
38,1,57,1,0,0
40,1,164,1,0,0
37,5,2101,0,1,0
41,2,55,1,0,0
35,1,57,1,0,0
34,1,52,0,0,0
35,1,72,0,0,1
40,1,68,0,0,0
38,1,63,1,0,1
40,2,101,1,0,1
36,1,146,0,0,1
42,3,61,0,0,1
45,1,66,1,0,0
39,2,335,1,0,0
40,1,131,0,0,1
30,1,52,0,0,0
37,1,77,1,0,0
35,7,2731,1,1,1
36,2,258,1,0,0
33,1,118,1,0,0
29,2,100,1,0,1
37,2,112,1,0,1
35,2,389,0,1,1
44,1,56,0,0,0
37,1,86,0,0,1
37,1,53,0,0,1
36,1,146,1,0,1
40,2,55,0,0,1
42,2,70,0,0,0
34,1,406,1,0,0
31,1,57,1,0,1
39,2,51,1,0,1
34,1,54,1,0,0
42,2,155,1,0,1
34,1,59,1,0,0
41,1,201,0,1,1
49,6,3165,0,1,0
37,1,122,1,0,0
37,2,53,1,0,1
36,1,129,1,0,0
37,5,1039,1,1,0
41,1,57,0,0,0
39,2,139,1,0,1
30,5,2195,0,0,1
32,2,58,0,0,1
35,1,150,0,0,0
46,7,3025,1,1,0
40,1,51,0,0,0
33,1,147,0,0,1
34,1,55,1,0,1
39,2,1064,0,0,0
41,1,61,1,0,0
32,2,484,0,0,1
34,1,56,1,1,0
42,3,207,1,0,1
40,6,2638,1,1,1
41,1,125,0,0,0
38,2,363,1,0,1
44,1,66,1,0,1
35,2,55,0,0,0
39,1,54,1,0,1
35,2,71,0,0,1
42,1,73,0,0,1
37,2,419,0,0,1
41,2,679,1,0,0
42,6,3064,0,1,0
37,1,70,1,0,1
32,2,58,0,0,0
40,1,51,1,0,1
43,1,51,0,0,0
39,2,52,0,0,0
37,1,554,1,0,1
54,1,241,1,0,1
39,1,122,0,0,1
39,1,51,0,0,1
34,1,56,0,0,0
36,1,53,1,0,1
34,8,7076,1,1,1
35,1,54,0,0,0
34,1,181,0,0,0
39,2,87,1,0,1
38,1,55,1,1,0
40,1,80,0,0,0
36,1,68,0,0,1
38,2,199,0,0,0
36,1,437,1,1,0
43,1,51,1,0,0
47,2,53,1,0,1
37,2,53,0,0,0
41,1,53,0,0,0
35,1,70,1,0,0
35,1,58,1,0,0
31,1,59,0,0,1
34,1,192,0,0,0
42,3,558,0,0,1
32,1,75,1,0,0
43,1,59,1,0,0
38,1,123,0,0,1
42,2,511,1,0,1
29,1,56,0,0,1
42,1,158,1,0,1
39,2,52,0,0,1
35,1,225,1,0,0
42,1,73,1,0,1
40,1,62,0,0,1
36,1,62,0,0,0
35,1,55,0,0,1
33,1,75,0,0,1
42,2,79,0,1,0
40,2,254,0,0,1
38,1,98,0,0,0
34,1,56,0,0,1
34,1,61,0,0,0
34,1,194,1,0,0
42,2,236,1,0,1
42,1,58,0,0,1
34,2,214,0,0,0
40,1,164,1,0,0
45,1,59,1,0,0
38,1,54,0,0,0
35,2,486,1,0,1
40,1,130,1,1,0
48,2,60,1,1,0
34,2,461,0,0,0
62,1,281,0,0,0
42,2,55,0,0,0
39,2,51,1,0,1
37,5,1221,0,1,1
39,1,388,0,0,1
38,1,59,0,0,1
36,5,1653,0,0,1
33,3,836,1,0,0
44,1,66,0,0,0
43,2,68,1,0,0
58,8,4099,1,1,0
37,1,210,0,0,0
35,3,547,1,0,0
29,1,149,0,0,1
35,1,57,1,0,1
43,1,56,0,0,0
40,1,51,1,0,1
44,1,56,1,0,1
34,3,546,0,0,0
35,2,174,0,0,1
36,1,79,1,0,1
31,2,54,1,0,1
35,2,497,0,0,0
35,1,165,0,0,0
34,1,185,1,1,0
30,1,54,0,0,1
33,2,359,0,0,1
29,2,73,1,0,1
32,2,860,1,0,1
37,6,2620,1,1,1
36,1,129,0,0,1
36,1,53,0,0,1
34,2,51,0,0,1
43,2,50,1,0,1
44,1,66,0,0,0
33,1,213,0,0,0
35,2,63,1,0,0
38,1,71,1,0,1
41,2,60,0,0,0
34,2,214,0,0,0
38,7,3046,0,1,0
34,2,156,1,0,1
44,1,62,1,0,0
37,1,58,0,0,0
35,1,73,1,0,0
37,1,59,0,0,0
35,1,225,1,0,0
41,2,905,0,0,1
43,1,56,1,0,0
40,1,95,0,0,1
36,1,96,1,0,1
37,1,57,1,0,1
39,1,53,0,0,0
34,5,1350,0,0,1
33,1,51,1,0,1
37,1,235,1,0,1
43,1,59,1,0,0
32,1,75,1,0,1
40,2,69,0,0,0
38,1,60,1,0,1
48,1,92,0,0,0
34,1,76,0,0,1
38,1,51,0,0,0
34,1,185,1,0,1
36,1,111,1,0,0
30,1,56,1,0,1
29,1,68,0,0,1
47,1,55,1,0,1
44,2,55,0,0,1
44,1,62,1,1,0
41,2,73,0,0,1
36,6,2873,1,0,1
30,1,54,0,0,0
37,2,939,0,0,1
36,3,51,1,0,0
34,1,59,0,0,0
41,2,58,0,0,0
36,2,52,0,0,1
44,1,60,1,0,1
42,1,141,1,0,1
42,2,64,0,1,1
38,3,186,1,0,1
43,2,274,1,0,0
23,1,68,0,0,0
33,1,52,0,0,0
37,1,58,0,0,1
42,1,112,1,0,0
36,2,277,1,0,0
36,8,4802,1,1,1
38,1,68,0,1,0
38,1,53,0,0,0
48,1,92,0,0,1
39,2,441,0,0,0
38,2,50,0,0,1
29,2,60,1,0,1
46,1,54,0,0,1
42,3,1206,0,1,1
41,2,95,0,0,0
38,2,54,0,0,0
36,3,608,0,0,0
34,1,74,0,1,1
41,2,118,1,1,1
39,1,51,1,0,1
40,2,87,0,0,1
37,2,419,1,0,0
41,2,59,1,0,1
45,2,64,0,0,0
41,1,89,0,0,0
34,2,147,1,0,0
36,1,60,1,0,0
34,1,187,0,0,1
39,3,339,1,0,1
42,2,58,0,0,1
43,1,65,0,0,0
41,2,78,0,0,0
49,6,2076,0,1,0
42,2,158,0,0,1
49,1,71,0,0,0
40,1,71,1,0,1
30,1,52,1,0,0
38,2,105,1,0,0
45,8,6405,1,1,1
40,1,61,1,0,0
32,8,8763,0,1,0
37,2,151,0,0,1
41,10,5330,1,1,0
36,2,84,1,0,1
44,1,71,1,0,1
30,2,71,0,0,0
30,2,128,0,0,1
37,1,69,0,0,0
33,1,52,0,0,0
34,1,73,0,0,1
32,2,56,0,0,0
35,1,53,0,0,0
35,2,66,0,0,0
42,2,499,0,1,0
36,2,335,1,1,1
41,2,59,0,0,0
42,2,511,0,1,1
39,2,58,0,0,1
30,1,81,1,0,1
43,2,274,0,0,1
35,2,66,0,0,1
49,6,2076,0,1,1
38,2,160,0,0,0
40,2,51,0,0,1
37,1,51,0,0,1
37,1,79,0,0,1
38,1,57,0,0,1
43,1,59,1,0,1
37,1,58,1,0,0
35,1,436,0,0,0
34,1,116,1,1,0
41,1,59,1,0,0
32,3,56,0,0,1
29,1,54,0,0,1
40,1,68,1,0,1
35,3,547,0,0,1
38,2,151,1,0,1
37,1,52,0,0,1
36,6,2873,1,1,0
35,2,760,1,0,0
54,1,241,1,0,1
38,1,73,0,0,1
32,1,58,0,0,1
44,1,84,0,0,1
30,2,128,1,0,0
38,1,73,0,0,1
37,1,70,1,0,1
43,1,52,1,0,0
39,2,51,0,0,1
39,2,54,1,0,0
35,2,173,1,0,1
31,1,78,0,0,0
41,2,100,0,0,0
36,1,90,1,0,0
34,8,7076,1,1,1
31,1,74,1,0,1
34,1,63,1,0,1
40,2,51,0,0,1
44,1,56,0,0,0
38,1,64,1,0,0
36,1,53,0,0,0
32,2,118,1,0,1
42,2,58,0,0,1
35,1,61,0,0,1
29,1,56,0,0,1
33,2,55,0,0,1
35,1,409,0,0,0
43,2,62,1,0,0
35,2,182,0,0,1
35,1,436,0,0,0
31,2,55,1,0,1
37,3,173,1,1,0
40,1,56,1,1,0
35,1,74,0,0,1
35,1,69,0,0,1
38,2,121,0,0,1
34,2,62,0,0,0
26,2,79,1,0,1
37,1,60,0,0,0
39,1,61,0,0,0
33,1,51,1,0,1
35,1,57,1,0,1
37,7,3999,0,1,1
44,1,64,1,0,1
34,1,55,0,0,1
35,1,83,0,0,0
35,1,69,1,0,1
40,2,72,1,0,1
31,1,52,0,0,0
33,1,51,1,1,1
41,1,53,0,0,0
35,1,51,0,0,0
35,1,52,1,0,1
35,1,56,0,0,1
35,1,165,1,0,0
36,8,4802,1,1,0
40,1,61,1,0,0
35,1,61,0,0,0
44,1,66,1,1,1
41,2,69,0,0,0
34,2,53,0,0,1
38,2,84,0,0,1
34,1,187,0,0,0
44,1,62,0,0,1
33,1,98,1,0,1
43,1,59,0,0,0
44,1,60,0,0,1
42,2,499,1,0,1
34,5,1346,1,0,1
36,1,64,1,0,1
44,1,56,0,0,0
35,2,274,1,0,1
41,1,61,0,0,1
37,1,195,0,1,1
35,2,163,1,0,1
33,1,302,1,0,1
33,2,56,0,0,0
36,2,973,0,0,0
32,1,205,0,0,1
38,1,54,1,1,0
33,1,58,0,0,0
40,1,68,0,0,1
38,2,151,0,0,1
37,1,86,0,0,1
41,2,52,0,0,1
38,1,71,1,0,0
38,1,52,0,0,1
38,1,89,1,1,0
32,6,1941,1,0,1
45,2,68,0,0,1
42,1,77,1,0,0
41,1,94,1,0,0
33,1,82,1,0,1
41,1,94,0,0,0
40,1,58,1,0,1
36,2,52,0,0,0
38,1,60,0,0,1
33,2,223,0,0,1
37,1,52,0,0,0
38,1,51,1,0,1
28,2,77,0,0,0
36,1,53,1,0,1
33,1,86,1,0,0
32,1,55,0,0,0
29,1,52,1,0,0
40,2,124,1,0,1
33,2,91,1,0,0
38,1,215,1,0,1
42,2,499,1,0,0
43,2,76,0,0,0
40,1,68,1,0,1
41,1,185,0,0,0
41,1,224,0,0,1
43,1,104,1,0,0
32,2,53,0,0,0
38,2,408,0,0,1
42,2,56,1,0,1
40,1,413,1,0,1
36,1,60,0,0,1
40,1,77,0,0,1
41,1,54,0,0,1
37,1,54,1,0,0
44,1,55,0,0,0
41,1,54,0,0,1
39,2,60,0,0,0
44,1,60,0,0,0
34,2,147,0,0,0
31,1,78,1,0,0
36,1,60,1,0,1
46,5,1465,0,1,0
34,1,83,0,0,0
32,2,61,0,1,1
43,2,205,1,0,0
30,2,77,0,0,1
31,2,61,0,0,1
43,1,51,1,0,1
36,1,96,0,0,1
