userid,recency,frequency,monetary,rfm1,rfm2,buyer,ordersize,platform,category,mobile_os
74843384,208,1,19.9,555,554,0,0,"App",3,"android"
74978146,207,1,69.9,553,552,0,0,"App",3,"android"
77272337,192,5,39.8,514,513,0,0,"App",3,"android"
77559920,190,1,39.9,554,553,0,0,"App",3,"android"
78092413,186,1,38,554,553,0,0,"App",3,"android"
78716741,181,1,20.5,555,554,0,0,"Browser",3,"android"
79510882,174,1,39.8,554,553,0,0,"App",3,"android"
82059233,154,5,22,515,514,0,0,"App",3,"android"
83299869,145,1,39.8,554,553,0,0,"App",3,"android"
84306693,138,4,40.6,524,523,0,0,"Browser",3,"android"
86898594,120,4,64,523,522,0,0,"Browser",3,"android"
88432960,109,8,39.8,514,513,0,0,"App",3,"android"
88621087,108,4,19.9,525,524,0,0,"App",3,"android"
88978986,106,5,40,514,513,0,0,"App",3,"android"
89479179,102,3,36.5,524,523,0,0,"App",3,"android"
91906460,85,1,19.9,555,554,0,0,"App",3,"android"
93158241,78,1,38,554,553,0,0,"App",3,"android"
95165123,68,3,35,423,424,0,0,"App",3,"android"
95580720,66,1,68.4,453,452,0,0,"Browser",3,"android"
96258128,63,4,19.9,425,424,0,0,"App",3,"android"
97321141,60,3,35,423,424,0,0,"App",3,"android"
99907113,52,1,68,453,452,0,0,"App",3,"android"
100128364,51,7,36.5,414,413,0,0,"App",3,"android"
101346089,46,1,39,454,453,0,0,"App",3,"android"
102614315,43,4,36,423,424,0,0,"App",3,"android"
102644517,43,3,62,422,423,0,0,"App",3,"android"
103231680,41,1,36.8,454,453,0,0,"App",3,"android"
104018490,38,8,36.8,414,413,0,0,"App",3,"android"
104077805,37,4,36,423,424,0,0,"Browser",3,"android"
105535525,30,2,30,333,334,0,0,"App",3,"android"
105545649,30,4,32.8,323,324,0,0,"App",3,"android"
106016591,28,3,31,323,324,0,0,"App",3,"android"
106060816,28,2,30,333,334,0,0,"App",3,"android"
106431742,26,2,30,333,334,0,0,"App",3,"android"
106742756,25,4,19,324,325,0,0,"App",3,"android"
108056698,19,1,66,353,352,0,0,"App",3,"android"
108746193,16,4,32,323,324,0,0,"App",3,"android"
108750504,16,3,32,323,324,0,0,"App",3,"android"
108775729,16,2,33,333,334,0,0,"App",3,"android"
108797064,16,2,19.5,334,335,0,0,"App",3,"android"
108856276,16,6,65,313,312,0,0,"Browser",3,"android"
109359363,13,3,59.6,222,223,0,0,"App",3,"android"
109428710,13,3,35,223,224,0,0,"App",3,"android"
109443362,12,7,62,212,213,0,0,"App",3,"android"
109473109,12,1,64,253,252,0,0,"App",3,"android"
109914963,10,1,19.9,155,154,0,0,"App",3,"android"
109915858,10,4,30,123,124,0,0,"App",3,"android"
110033780,10,1,56,152,153,0,0,"App",3,"android"
110037594,10,5,36,113,114,0,0,"App",3,"android"
110058318,10,4,30,123,124,0,0,"App",3,"android"
110165642,10,4,30,123,124,0,0,"App",3,"android"
110177442,10,6,35,113,114,0,0,"Browser",3,"android"
110213250,10,1,19.9,155,154,0,0,"App",3,"android"
110221680,9,7,56,112,113,0,0,"App",3,"android"
110229369,9,4,50,122,123,0,0,"App",3,"android"
110245565,9,1,59.6,152,153,0,0,"App",3,"android"
110247145,9,4,52,122,123,0,0,"App",3,"android"
110247435,9,2,36,133,134,0,0,"App",3,"android"
110248260,9,1,19.8,155,154,0,0,"App",3,"android"
110257012,9,3,59,122,123,0,0,"App",3,"android"
110261380,9,1,35.5,153,154,0,0,"App",3,"android"
110265087,9,2,36,133,134,0,0,"App",3,"android"
110277676,9,1,19.9,155,154,0,0,"App",3,"android"
110283293,9,1,35,153,154,0,0,"App",3,"android"
110289869,9,4,51.6,122,123,0,0,"App",3,"android"
110296440,9,3,31,123,124,0,0,"App",3,"android"
110297026,9,1,32,153,154,0,0,"App",3,"android"
110304514,9,1,33,153,154,0,0,"App",3,"android"
110309383,9,4,60,122,123,0,0,"App",3,"android"
110336814,9,5,19.9,115,114,0,0,"App",3,"android"
110337033,9,1,105,151,152,0,0,"App",3,"android"
110355223,9,5,36,113,114,0,0,"App",3,"android"
110357529,9,1,19.9,155,154,0,0,"App",3,"android"
110376840,9,6,54,112,113,0,0,"App",3,"android"
110384938,9,3,30,123,124,0,0,"App",3,"android"
110385897,9,8,35.5,113,114,0,0,"App",3,"android"
110399591,9,3,30,123,124,0,0,"App",3,"android"
110403577,9,5,19.9,115,114,0,0,"App",3,"android"
110403872,9,1,58,152,153,0,0,"App",3,"android"
110411338,9,1,60,152,153,0,0,"App",3,"android"
110427313,9,4,50,122,123,0,0,"App",3,"android"
110433831,9,1,36,153,154,1,209,"App",3,"android"
110445033,9,5,58,112,113,0,0,"App",3,"android"
110448545,9,4,32,123,124,1,259,"App",3,"android"
110456435,9,1,100,151,152,1,209,"App",3,"android"
110464599,9,1,19.9,155,154,1,209,"App",3,"android"
110475970,9,1,19.9,155,154,0,0,"App",3,"android"
110480178,9,1,19.9,155,154,0,0,"App",3,"android"
110497983,9,1,36,153,154,0,0,"App",3,"android"
110523456,9,3,33,123,124,0,0,"App",3,"android"
54414590,413,1,66,553,552,0,0,"App",3,"android"
57753653,380,1,39.8,554,553,0,0,"App",3,"android"
61666259,334,1,123.6,552,551,0,0,"App",3,"android"
65803940,286,5,22.8,515,514,0,0,"App",3,"android"
68925995,258,1,39.8,554,553,0,0,"App",3,"android"
69106086,257,1,39.8,554,553,0,0,"App",3,"android"
71699569,233,1,39.8,554,553,0,0,"App",3,"android"
72911147,221,1,70,553,552,0,0,"App",3,"android"
74160530,214,4,76,523,522,0,0,"App",3,"android"
75208062,206,4,39,524,523,0,0,"App",3,"android"
76702273,195,1,66,553,552,0,0,"App",3,"android"
78251310,185,1,39.9,554,553,0,0,"App",3,"android"
79726066,172,1,70,553,552,0,0,"App",3,"android"
79808383,172,1,70,553,552,0,0,"App",3,"android"
79867095,171,3,38,524,523,0,0,"Browser",3,"android"
80531271,165,1,21,555,554,0,0,"App",3,"android"
81448864,159,1,69,553,552,0,0,"App",3,"android"
83267546,145,1,19.9,555,554,0,0,"Browser",3,"android"
84194422,139,8,80.7,513,512,0,0,"App",3,"android"
84274995,138,10,20,515,514,0,0,"Browser",3,"android"
85529683,130,1,39,554,553,0,0,"Browser",3,"android"
88720231,108,1,71,553,552,0,0,"App",3,"android"
89615362,101,9,38,514,513,0,0,"App",3,"android"
92762190,80,4,39.8,524,523,0,0,"Browser",3,"android"
93091520,78,1,73.5,553,552,0,0,"App",3,"android"
93175732,78,4,40,524,523,0,0,"App",3,"android"
93210527,78,4,39.8,524,523,0,0,"App",3,"android"
94447210,72,1,19.8,455,454,0,0,"App",3,"android"
94892457,70,4,19.9,425,424,0,0,"Browser",3,"iphone"
101321764,47,1,39,454,453,0,0,"App",3,"android"
102639708,43,1,65.8,453,452,0,0,"App",3,"android"
104118163,37,1,38,454,453,0,0,"App",3,"android"
105967980,29,1,66,353,352,0,0,"App",3,"android"
107783667,20,3,31,323,324,0,0,"App",3,"android"
109641494,12,4,34,223,224,0,0,"App",3,"android"
109687731,11,5,19,214,215,0,0,"App",3,"android"
109768599,11,9,18.9,214,215,0,0,"App",3,"android"
109907840,10,1,19.9,155,154,0,0,"App",3,"android"
110020609,10,3,33,123,124,0,0,"App",3,"android"
110145790,10,1,61.6,152,153,0,0,"App",3,"android"
110177016,10,1,55.4,152,153,1,259,"App",3,"android"
110205753,10,3,61.9,122,123,0,0,"App",3,"android"
110239948,9,6,59.8,112,113,0,0,"App",3,"android"
110240599,9,2,19.8,135,134,0,0,"App",3,"android"
110254953,9,3,108,121,122,0,0,"App",3,"android"
110256660,9,1,59.9,152,153,0,0,"App",3,"android"
110266566,9,1,19.8,155,154,0,0,"Browser",3,"android"
110297191,9,5,53.8,112,113,1,209,"App",3,"android"
110311088,9,8,60,112,113,0,0,"App",3,"android"
110356352,9,1,19.9,155,154,0,0,"App",3,"android"
110473586,9,5,19.9,115,114,0,0,"App",3,"android"
110491669,9,1,19.9,155,154,0,0,"App",3,"android"
110502503,9,1,19.9,155,154,0,0,"App",3,"android"
55609309,402,2,19.8,535,534,0,0,"Browser",3,"android"
65052190,295,3,36.6,524,523,0,0,"App",3,"android"
65842259,286,4,36.6,524,523,0,0,"App",3,"android"
66998198,275,1,40,554,553,0,0,"App",3,"android"
68538975,262,1,39.8,554,553,0,0,"App",3,"android"
75554756,203,4,40,524,523,0,0,"App",3,"android"
75588761,203,1,23,555,554,0,0,"App",3,"android"
76147498,199,1,42,554,553,0,0,"App",3,"android"
76365025,197,8,19.9,515,514,0,0,"App",3,"android"
76862801,194,3,40,524,523,0,0,"App",3,"android"
81983454,155,1,20.8,555,554,0,0,"App",3,"android"
82699999,150,1,39.8,554,553,0,0,"App",3,"android"
83424598,144,3,64,523,522,0,0,"App",3,"android"
83676442,143,3,69.9,523,522,0,0,"App",3,"android"
86921933,120,3,20,525,524,0,0,"App",3,"android"
87900020,113,1,23,555,554,0,0,"App",3,"android"
88180352,111,1,39.6,554,553,0,0,"App",3,"android"
92721650,80,6,39.8,514,513,0,0,"App",3,"android"
92731924,80,1,68,553,552,0,0,"App",3,"android"
92823678,80,1,68,553,552,0,0,"App",3,"android"
93351432,77,9,65,413,412,0,0,"App",3,"android"
95161158,68,2,36.6,434,433,0,0,"App",3,"android"
97973501,59,3,61,422,423,0,0,"Browser",3,"android"
106816249,25,2,19,334,335,0,0,"App",3,"android"
106886924,24,2,62,332,333,0,0,"App",3,"android"
107205134,23,3,18,324,325,0,0,"App",3,"android"
107530559,22,1,19.5,354,355,0,0,"App",3,"android"
107611436,21,1,114,352,351,0,0,"App",3,"android"
108656246,16,8,32.9,313,314,0,0,"App",3,"android"
108821333,16,2,62,332,333,0,0,"App",3,"android"
108862166,16,2,31,333,334,0,0,"App",3,"android"
109033932,15,2,60,232,233,0,0,"App",3,"android"
109155027,14,3,32,223,224,0,0,"App",3,"android"
109327280,13,3,34,223,224,0,0,"App",3,"android"
109358817,13,3,62,222,223,0,0,"App",3,"android"
109561469,12,3,35,223,224,0,0,"App",3,"android"
109789742,11,2,59.8,232,233,0,0,"App",3,"android"
109816076,11,3,33,223,224,0,0,"App",3,"iphone"
109869781,11,7,33,213,214,0,0,"App",3,"android"
109923929,10,1,62,152,153,0,0,"App",3,"android"
109994288,10,1,31.8,153,154,0,0,"App",3,"android"
110060425,10,1,60,152,153,0,0,"App",3,"android"
110132388,10,6,63,112,113,0,0,"App",3,"android"
110174683,10,6,35.5,113,114,0,0,"App",3,"android"
110197642,10,3,35.8,123,124,0,0,"App",3,"android"
110222592,9,1,53.6,152,153,0,0,"App",3,"android"
110231653,9,1,56,152,153,0,0,"App",3,"android"
110242138,9,3,55,122,123,0,0,"App",3,"android"
110249143,9,4,30,123,124,0,0,"App",3,"android"
110251999,9,1,35.5,153,154,0,0,"App",3,"android"
110259949,9,5,19.9,115,114,0,0,"App",3,"android"
110264154,9,4,32.8,123,124,0,0,"App",3,"android"
110294570,9,3,34.5,123,124,0,0,"App",3,"android"
110326562,9,1,19.9,155,154,0,0,"App",3,"android"
110352757,9,1,32.8,153,154,0,0,"App",3,"android"
110355577,9,5,19.8,115,114,0,0,"App",3,"android"
110366620,9,1,55.8,152,153,0,0,"App",3,"android"
110395123,9,1,34.5,153,154,0,0,"App",3,"android"
110395873,9,1,104,151,152,0,0,"App",3,"android"
110406463,9,4,31,123,124,0,0,"App",3,"android"
110409735,9,7,35,113,114,0,0,"App",3,"android"
110506960,9,1,58,152,153,0,0,"App",3,"android"
72491208,225,1,75,553,552,0,0,"App",3,"android"
77206196,192,7,42,514,513,0,0,"App",3,"android"
80290787,167,1,124,552,551,0,0,"App",3,"android"
80698287,164,2,63.6,532,533,0,0,"App",3,"android"
80918230,163,1,70,553,552,0,0,"App",3,"android"
85054827,133,5,38,514,513,0,0,"App",3,"android"
87368076,117,1,20,555,554,0,0,"App",3,"android"
91720807,86,1,72,553,552,0,0,"App",3,"android"
103453424,40,1,112,452,451,0,0,"App",3,"android"
105118089,32,1,39,454,453,0,0,"App",3,"android"
106318874,27,1,18,354,355,0,0,"App",3,"android"
106776950,25,9,19,314,315,0,0,"Browser",3,"android"
107842616,20,2,30,333,334,0,0,"App",3,"android"
108058735,19,2,31,333,334,0,0,"App",3,"android"
108583473,17,4,34,323,324,0,0,"App",3,"android"
108591421,17,3,31,323,324,0,0,"App",3,"android"
108998621,15,4,33,223,224,0,0,"App",3,"android"
109623780,12,1,36,253,254,0,0,"App",3,"android"
110084896,10,4,62,122,123,0,0,"App",3,"android"
110103726,10,1,59.7,152,153,0,0,"App",3,"android"
110150575,10,1,58,152,153,0,0,"App",3,"android"
110161271,10,3,30,123,124,0,0,"App",3,"android"
110233887,9,3,62,122,123,0,0,"App",3,"android"
110235903,9,3,100,121,122,0,0,"App",3,"android"
110243340,9,1,32,153,154,0,0,"App",3,"android"
110255940,9,1,58,152,153,0,0,"App",3,"android"
110296095,9,3,56.8,122,123,0,0,"App",3,"android"
110306649,9,4,31,123,124,0,0,"App",3,"android"
110322014,9,1,58,152,153,0,0,"App",3,"android"
110326523,9,1,57.6,152,153,0,0,"App",3,"android"
110471346,9,1,33,153,154,0,0,"App",3,"android"
110514971,9,4,30.9,123,124,0,0,"App",3,"android"
74072584,214,3,38,524,523,0,0,"Browser",3,"android"
86450382,123,1,70,553,552,0,0,"App",3,"android"
102932151,42,1,19.8,455,454,0,0,"App",3,"android"
108786388,16,3,31,323,324,0,0,"App",3,"android"
109107997,14,4,31,223,224,0,0,"App",3,"android"
110061489,10,4,58,122,123,0,0,"App",3,"android"
110244063,9,6,100,111,112,0,0,"App",3,"android"
110269094,9,1,31.5,153,154,0,0,"App",3,"android"
72064680,229,6,19.9,515,514,0,0,"App",3,"android"
90890017,92,1,19.9,555,554,0,0,"App",3,"android"
98003513,58,4,35,423,424,0,0,"App",3,"android"
105237158,32,1,38,454,453,0,0,"App",3,"android"
107448379,22,2,19,334,335,0,0,"App",3,"android"
110242946,9,1,36,153,154,0,0,"App",3,"android"
110358057,9,1,104,151,152,0,0,"App",3,"android"
73980045,215,1,20,555,554,0,0,"App",3,"android"
81224401,161,1,66,553,552,0,0,"App",3,"android"
88010193,112,4,67.6,523,522,0,0,"App",3,"android"
96489829,62,1,38.8,454,453,0,0,"App",3,"android"
100022950,52,2,37.6,434,433,0,0,"App",3,"android"
100607233,49,1,37.6,454,453,0,0,"App",3,"android"
101162472,47,3,62,422,423,0,0,"App",3,"android"
102582938,43,4,35,423,424,0,0,"App",3,"android"
108117464,19,2,19,334,335,0,0,"App",3,"android"
109228727,14,3,60,222,223,0,0,"App",3,"android"
110232382,9,1,32,153,154,0,0,"App",3,"android"
110313971,9,4,60,122,123,0,0,"App",3,"android"
110325456,9,6,19.8,115,114,0,0,"App",3,"android"
110349992,9,1,60,152,153,0,0,"App",3,"android"
70217753,247,1,23,555,554,0,0,"Browser",3,"android"
89264560,104,3,40.5,524,523,0,0,"App",3,"android"
93143579,78,7,112,512,511,0,0,"App",3,"android"
93690882,75,1,66,453,452,0,0,"App",3,"android"
97365605,60,2,37.6,434,433,0,0,"App",3,"android"
101079261,47,1,36.9,454,453,0,0,"App",3,"android"
103924979,38,1,38,454,453,0,0,"App",3,"android"
107207932,23,2,30.9,333,334,0,0,"App",3,"android"
109166370,14,2,31,233,234,0,0,"App",3,"android"
110144664,10,8,19.9,115,114,0,0,"Browser",3,"android"
110188420,10,1,19.9,155,154,0,0,"App",3,"android"
110245782,9,6,34.9,113,114,1,259,"App",3,"android"
110280967,9,1,53,152,153,0,0,"App",3,"android"
110359101,9,1,59,152,153,0,0,"App",3,"android"
110384435,9,3,30.5,123,124,0,0,"App",3,"android"
60617354,347,6,83,513,512,0,0,"Browser",3,"android"
73667602,216,1,40,554,553,0,0,"Browser",3,"android"
78100085,186,1,119.4,552,551,0,0,"App",3,"android"
78917655,179,3,38,524,523,0,0,"App",3,"android"
79604057,173,1,41,554,553,0,0,"App",3,"android"
81338314,159,1,39.9,554,553,0,0,"App",3,"android"
88582886,108,1,38,554,553,0,0,"App",3,"android"
90889474,92,1,21,555,554,0,0,"App",3,"android"
92252475,82,1,40,554,553,0,0,"App",3,"android"
92399224,82,1,73.4,553,552,1,209,"App",3,"android"
94389935,72,1,19.8,455,454,0,0,"App",3,"android"
95001144,69,2,37,434,433,0,0,"App",3,"android"
100182298,51,4,61,422,423,1,259,"App",3,"android"
101728093,46,2,64,433,432,0,0,"App",3,"android"
102083571,45,7,64,413,412,0,0,"App",3,"android"
104798479,34,3,35,423,424,0,0,"App",3,"android"
105213828,32,1,38,454,453,0,0,"App",3,"android"
106470824,26,2,30,333,334,0,0,"App",3,"android"
107338146,23,2,63,332,333,0,0,"App",3,"android"
108512010,17,2,63,332,333,0,0,"App",3,"android"
108671516,16,4,31,323,324,0,0,"App",3,"android"
108777838,16,1,66,353,352,0,0,"App",3,"android"
108966507,15,7,35,213,214,0,0,"App",3,"android"
109034853,15,6,36,213,214,0,0,"App",3,"android"
109576249,12,2,36,233,234,0,0,"App",3,"android"
109714391,11,3,35,223,224,0,0,"App",3,"android"
109979618,10,5,19.9,115,114,0,0,"App",3,"android"
110022569,10,1,35,153,154,0,0,"App",3,"android"
110211278,10,8,35,113,114,0,0,"App",3,"android"
110220408,9,7,36,113,114,0,0,"App",3,"android"
110251395,9,5,36,113,114,0,0,"App",3,"android"
110255651,9,3,35,123,124,0,0,"App",3,"android"
110267394,9,1,58,152,153,0,0,"App",3,"android"
110274005,9,1,36,153,154,0,0,"App",3,"android"
110276845,9,8,36,113,114,0,0,"App",3,"android"
110294834,9,7,62,112,113,0,0,"App",3,"android"
110314540,9,1,56.4,152,153,0,0,"App",3,"android"
110331922,9,1,19.9,155,154,0,0,"App",3,"android"
110346450,9,7,60,112,113,0,0,"App",3,"android"
110360114,9,1,35.5,153,154,0,0,"App",3,"android"
110366750,9,1,36,153,154,0,0,"App",3,"android"
110378212,9,1,35.5,153,154,0,0,"App",3,"android"
110396371,9,1,36,153,154,0,0,"App",3,"android"
110430542,9,4,60,122,123,0,0,"App",3,"android"
110458920,9,1,36,153,154,0,0,"App",3,"android"
110462736,9,3,30,123,124,0,0,"App",3,"android"
110479187,9,4,35,123,124,0,0,"App",3,"android"
110482407,9,1,35,153,154,0,0,"App",3,"android"
110487894,9,1,35,153,154,0,0,"App",3,"android"
110501521,9,3,30,123,124,0,0,"App",3,"android"
110521238,9,5,54,112,113,0,0,"App",3,"android"
110525345,9,1,54,152,153,0,0,"App",3,"android"
85933317,127,5,36.8,514,513,0,0,"App",3,"android"
103639518,39,6,68,413,412,0,0,"App",3,"android"
106295512,27,8,105,311,312,0,0,"App",3,"android"
58291209,373,3,119,522,521,0,0,"App",5,"android"
60287476,350,1,119,552,551,0,0,"Browser",5,"android"
68528333,262,1,118,552,551,0,0,"Browser",5,"android"
76833946,194,1,128,552,551,0,0,"App",5,"android"
77175644,192,5,129,512,511,0,0,"Browser",5,"android"
81463410,158,3,117,522,521,0,0,"Browser",5,"android"
84145379,139,6,119,512,511,0,0,"Browser",5,"android"
