acctnum,offer,buyer,female,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,refernce,art,geog
60786,Art,0,0,MA,2401,24,21,13,27,89,116,2,1,0,0,0,1,0,0
60787,DIY,0,0,RI,2874,28,47,11,133,41,174,11,4,0,1,2,0,1,3
60838,Art,0,1,NY,11040,110,45,13,63,62,125,6,3,0,2,0,1,0,0
60953,Art,0,1,NJ,8062,80,83,25,113,112,225,10,4,3,2,0,0,0,1
60957,DIY,0,0,NY,11598,115,11,11,15,236,251,1,0,1,0,0,0,0,0
61096,DIY,0,1,PA,17110,171,63,33,56,238,294,5,2,1,1,0,0,0,1
61141,Art,0,0,MD,21093,210,41,11,128,309,437,12,3,2,2,3,1,0,1
61164,Cook,0,1,NY,13638,136,29,29,15,200,215,1,1,0,0,0,0,0,0
61184,DIY,0,1,NJ,7850,78,1,1,15,91,106,1,0,0,1,0,0,0,0
61190,Art,0,1,PA,19072,190,11,9,27,64,91,2,0,0,1,0,1,0,0
61203,Art,0,1,NY,11355,113,59,15,91,44,135,8,3,1,0,1,0,2,1
61263,Art,0,1,PA,17018,170,17,9,25,208,233,2,0,0,2,0,0,0,0
61264,Art,1,1,MA,1236,12,49,13,117,194,311,9,0,0,2,1,0,0,6
61290,Art,0,1,NY,10305,103,21,13,25,275,300,2,1,0,1,0,0,0,0
61326,Cook,0,0,PA,15237,152,5,1,25,55,80,2,1,0,1,0,0,0,0
61456,DIY,0,1,PA,15101,151,1,1,15,258,273,1,0,0,1,0,0,0,0
61460,Art,0,1,NY,11412,114,15,3,47,157,204,4,1,0,2,0,0,0,1
61461,Art,0,1,PA,19153,191,9,9,15,264,279,1,1,0,0,0,0,0,0
61468,Cook,0,1,PA,19126,191,5,1,29,155,184,2,1,0,0,0,0,0,1
61533,DIY,1,1,PA,19607,196,11,11,15,57,72,1,0,0,0,1,0,0,0
61558,DIY,1,1,NJ,8753,87,7,7,15,181,196,1,0,0,0,1,0,0,0
61568,Cook,0,1,NJ,8053,80,9,9,15,123,138,1,0,0,0,0,0,0,1
61593,DIY,0,1,NY,10044,100,15,9,25,33,58,2,0,0,2,0,0,0,0
61805,Cook,0,1,PA,18951,189,9,3,27,292,319,2,0,0,0,0,2,0,0
61815,Art,0,1,MD,20854,208,45,13,99,184,283,9,1,2,3,0,2,0,1
61839,DIY,1,0,NY,11795,117,39,17,50,298,348,4,2,0,0,0,0,1,1
61869,DIY,1,0,PA,17551,175,3,3,15,228,243,1,0,0,0,0,0,0,1
61925,DIY,0,0,MD,20815,208,13,11,26,7,33,2,0,1,0,1,0,0,0
62065,Art,0,1,NY,11763,117,19,7,57,60,117,5,2,0,2,0,0,0,1
62115,Cook,0,0,MA,1730,17,17,13,28,254,282,2,0,0,0,1,0,1,0
62160,Art,1,0,PA,17055,170,23,7,60,174,234,5,2,0,0,1,0,2,0
62204,Cook,0,0,NY,13905,139,9,3,24,254,278,2,1,1,0,0,0,0,0
62221,Cook,0,0,NJ,7869,78,29,9,81,106,187,7,1,1,1,0,1,1,2
62261,Cook,0,0,NY,11570,115,1,1,15,245,260,1,0,0,0,0,0,0,1
62293,Art,0,1,NY,10025,100,11,1,38,127,165,3,0,0,1,0,1,1,0
62298,DIY,0,1,NY,11771,117,27,19,25,192,217,2,0,0,2,0,0,0,0
62510,Cook,0,1,PA,19022,190,9,7,29,219,248,2,0,0,0,1,0,0,1
62536,Cook,0,1,NJ,7632,76,33,33,15,82,97,1,0,0,0,0,0,0,1
62546,DIY,0,1,MD,20622,206,5,5,15,104,119,1,0,0,0,0,1,0,0
62546,DIY,0,0,NJ,7871,78,27,27,15,111,126,1,0,0,0,0,0,0,1
62556,Art,0,0,NH,3766,37,21,15,27,159,186,2,0,0,0,1,1,0,0
62633,Art,0,1,NJ,8033,80,31,11,91,228,319,8,2,1,1,1,2,0,1
62655,Cook,0,0,NY,10463,104,21,15,29,269,298,2,0,1,0,0,0,0,1
62687,Cook,0,1,CT,6851,68,13,13,15,222,237,1,1,0,0,0,0,0,0
62694,Art,0,1,MD,21122,211,15,15,15,92,107,1,0,1,0,0,0,0,0
62715,Cook,0,1,NY,11365,113,9,9,15,173,188,1,1,0,0,0,0,0,0
62721,Cook,1,1,NY,11235,112,35,13,73,106,179,6,0,1,4,0,0,0,1
62734,DIY,0,0,NJ,7066,70,37,3,120,272,392,10,4,0,1,0,2,2,1
62806,Art,0,1,NJ,7974,79,1,1,15,117,132,1,0,0,1,0,0,0,0
62811,Art,0,1,NY,10965,109,9,9,15,72,87,1,1,0,0,0,0,0,0
62812,DIY,0,1,NJ,7036,70,3,3,15,164,179,1,0,0,0,0,0,0,1
62818,Art,0,1,PA,19130,191,15,7,29,242,271,2,1,0,0,0,0,0,1
62851,Art,0,1,NY,11010,110,19,15,26,9,35,2,0,0,1,1,0,0,0
62893,Cook,0,0,NY,11801,118,13,9,23,72,95,2,2,0,0,0,0,0,0
62905,Cook,0,1,MA,2081,20,19,15,25,183,208,2,1,0,1,0,0,0,0
62909,Cook,0,0,NJ,7960,79,75,11,122,316,438,11,5,0,2,4,0,0,0
62973,DIY,0,0,MA,2136,21,43,35,25,143,168,2,1,0,1,0,0,0,0
63032,DIY,0,0,PA,18974,189,61,13,122,246,368,11,4,1,2,2,1,1,0
63037,Art,0,0,NY,11732,117,7,5,29,35,64,2,0,0,0,0,1,0,1
63060,DIY,1,1,MA,2121,21,37,3,139,297,436,12,2,0,3,2,1,2,2
63060,DIY,0,0,NJ,7753,77,41,13,72,239,311,6,0,1,1,2,0,1,1
63094,Art,0,0,MA,2649,26,11,11,15,212,227,1,0,0,0,0,0,1,0
63121,Cook,0,0,NY,12144,121,19,5,47,101,148,4,0,1,1,0,0,2,0
63147,Cook,0,1,NH,3054,30,17,17,15,263,278,1,0,0,1,0,0,0,0
63156,Cook,0,0,MD,21087,210,13,13,15,131,146,1,0,0,0,1,0,0,0
63234,Art,0,0,NY,12078,120,31,9,48,43,91,4,1,0,0,2,0,0,1
63267,Cook,0,1,MA,2155,21,19,17,29,103,132,2,1,0,0,0,0,0,1
63353,Cook,0,0,NJ,8512,85,9,9,15,142,157,1,0,0,0,0,0,0,1
63384,Art,0,1,PA,19348,193,19,5,61,256,317,5,1,1,1,0,0,1,1
63399,DIY,1,0,PA,19078,190,61,5,130,231,361,12,2,3,1,3,1,2,0
63410,Cook,0,0,NJ,7644,76,31,9,123,267,390,11,2,1,2,2,0,1,3
63441,Art,0,0,NY,11746,117,39,31,28,155,183,2,1,0,0,0,0,1,0
63441,DIY,0,1,NJ,7840,78,1,1,15,151,166,1,1,0,0,0,0,0,0
63461,Art,0,1,NJ,8820,88,37,29,25,58,83,2,1,0,1,0,0,0,0
63465,Art,0,1,PA,18017,180,39,13,73,103,176,7,1,1,4,1,0,0,0
63476,Cook,0,1,MA,1451,14,29,23,29,189,218,2,0,0,1,0,0,0,1
63495,Art,0,1,NY,11224,112,35,33,29,168,197,2,0,0,0,0,0,0,2
63556,DIY,0,1,PA,19103,191,7,7,15,194,209,1,0,0,0,1,0,0,0
63575,Cook,0,1,NJ,8735,87,25,11,67,240,307,6,2,1,1,0,1,1,0
63677,DIY,0,0,NJ,7040,70,5,1,24,234,258,2,1,1,0,0,0,0,0
63692,DIY,0,0,PA,19078,190,47,11,140,337,477,12,4,1,3,1,1,1,1
63740,Art,0,0,NY,12208,122,19,13,27,82,109,2,0,0,1,0,1,0,0
63753,DIY,0,1,NJ,7008,70,7,7,15,134,149,1,1,0,0,0,0,0,0
63768,Art,0,0,NY,13326,133,21,17,27,61,88,2,1,0,0,0,1,0,0
63779,Art,0,1,NY,11557,115,13,13,15,153,168,1,0,0,0,1,0,0,0
63791,DIY,0,1,MA,1821,18,1,1,15,125,140,1,1,0,0,0,0,0,0
63798,Art,0,1,NY,11963,119,45,11,112,209,321,10,4,1,3,0,0,1,1
63799,Art,0,1,CT,6831,68,23,15,25,255,280,2,0,1,1,0,0,0,0
63831,DIY,0,1,PA,18509,185,29,29,15,3,18,1,0,0,1,0,0,0,0
63880,Art,0,0,NJ,8012,80,37,25,34,251,285,3,2,0,0,1,0,0,0
63924,Art,0,1,NY,10804,108,15,15,15,134,149,1,0,0,1,0,0,0,0
63995,DIY,0,1,NY,10541,105,13,9,23,104,127,2,2,0,0,0,0,0,0
63996,DIY,0,1,MA,1945,19,5,1,29,106,135,2,1,0,0,0,0,0,1
64021,DIY,0,1,VT,5075,50,21,13,28,123,151,2,0,0,0,0,1,1,0
64038,DIY,0,1,NY,10983,109,5,5,15,10,25,1,0,0,1,0,0,0,0
64050,Art,0,1,NJ,7008,70,19,13,28,74,102,2,1,0,0,0,0,1,0
64050,Cook,1,1,NY,11434,114,53,15,105,276,381,10,1,2,5,1,0,1,0
64082,Art,1,1,NY,11368,113,7,7,15,26,41,1,0,0,0,0,1,0,0
64086,DIY,1,0,MA,2062,20,3,1,24,79,103,2,1,1,0,0,0,0,0
64147,Cook,0,0,NY,11501,115,31,7,53,109,162,5,2,1,1,1,0,0,0
64177,Art,0,1,NJ,7601,76,35,11,48,287,335,4,0,0,3,0,0,1,0
64218,Art,1,1,NY,11210,112,67,11,132,264,396,12,6,0,3,0,0,2,1
64248,Cook,0,1,NJ,8034,80,23,13,38,291,329,3,0,0,1,0,0,2,0
64249,Cook,1,1,NJ,7661,76,15,15,15,298,313,1,0,0,1,0,0,0,0
64255,Cook,0,1,NY,10010,100,3,1,29,144,173,2,1,0,0,0,0,0,1
64268,Art,0,1,CT,6497,64,19,19,15,267,282,1,0,0,1,0,0,0,0
64321,DIY,0,0,NY,11357,113,13,11,25,260,285,2,1,0,1,0,0,0,0
64351,Art,1,1,NY,11762,117,9,1,28,287,315,2,0,0,0,0,0,2,0
64362,Cook,0,1,PA,19154,191,9,9,15,184,199,1,1,0,0,0,0,0,0
64366,Art,0,0,NY,11757,117,47,9,114,238,352,10,4,1,1,2,0,1,1
64385,Cook,0,1,NY,10573,105,17,17,15,295,310,1,1,0,0,0,0,0,0
64424,Cook,1,1,CT,6432,64,41,9,134,76,210,12,4,1,5,0,0,2,0
64454,Cook,0,1,NY,11560,115,43,35,25,200,225,2,0,0,1,0,1,0,0
64462,DIY,0,0,DE,19803,198,93,25,139,247,386,12,0,2,3,3,1,1,2
64469,Cook,1,0,NY,11362,113,55,5,106,248,354,10,1,3,5,1,0,0,0
64482,Art,0,0,NJ,7470,74,33,9,131,153,284,12,3,0,2,4,1,1,1
64508,Art,0,1,NJ,7003,70,17,17,15,70,85,1,1,0,0,0,0,0,0
64550,Art,0,1,NY,11756,117,43,21,98,74,172,9,2,1,4,0,0,0,2
64555,DIY,0,0,NJ,8831,88,67,25,144,122,266,12,0,0,7,3,0,1,1
64562,DIY,0,1,CT,6437,64,29,29,15,180,195,1,1,0,0,0,0,0,0
64578,Cook,0,1,PA,15205,152,7,5,29,242,271,2,0,1,0,0,0,0,1
64590,Cook,0,1,PA,18901,189,19,15,25,251,276,2,0,1,1,0,0,0,0
64614,Cook,0,0,NJ,8540,85,21,15,24,28,52,2,1,1,0,0,0,0,0
64619,Art,0,1,CT,6109,61,17,17,15,11,26,1,0,0,1,0,0,0,0
64629,Art,0,1,NY,11356,113,11,5,36,189,225,3,0,0,1,1,0,0,1
64637,Art,0,1,RI,2806,28,13,9,25,168,193,2,0,1,1,0,0,0,0
64706,Art,0,1,NJ,7070,70,1,1,15,43,58,1,0,1,0,0,0,0,0
64719,DIY,0,0,NY,11557,115,29,27,28,226,254,2,0,0,0,0,1,1,0
64802,DIY,0,0,ME,4553,45,9,5,27,164,191,2,0,0,1,0,1,0,0
64832,DIY,0,1,PA,19006,190,75,5,144,163,307,12,0,0,4,2,3,1,2
64867,Cook,0,0,NY,12033,120,5,5,15,192,207,1,0,0,0,0,0,1,0
64940,Cook,0,0,PA,19090,190,49,3,131,38,169,11,1,0,2,4,0,3,1
65008,DIY,1,1,PA,17331,173,3,3,15,113,128,1,0,0,1,0,0,0,0
65025,Art,0,1,PA,15613,156,33,11,110,325,435,10,2,4,2,0,1,0,1
65070,Art,0,0,PA,19066,190,11,5,28,37,65,2,1,0,0,0,0,1,0
65102,Cook,0,1,NJ,7036,70,19,13,24,272,296,2,0,2,0,0,0,0,0
65117,Art,0,0,MD,21239,212,13,13,15,72,87,1,0,0,0,0,0,0,1
65129,DIY,0,0,NJ,7701,77,11,9,25,76,101,2,0,0,2,0,0,0,0
65164,DIY,0,1,MD,20815,208,13,11,28,59,87,2,0,1,0,0,0,1,0
65169,DIY,0,0,PA,18643,186,25,1,54,263,317,5,1,0,3,1,0,0,0
65187,Art,0,1,NY,14618,146,59,23,107,79,186,9,0,1,3,1,1,2,1
65233,Art,0,0,NY,11694,116,57,5,140,47,187,12,2,0,3,3,1,2,1
65290,Cook,1,1,MA,1373,13,41,5,79,239,318,8,3,2,3,0,0,0,0
65307,Art,1,1,MD,20895,208,29,29,15,247,262,1,1,0,0,0,0,0,0
65310,Cook,0,1,NY,11234,112,15,11,23,63,86,2,2,0,0,0,0,0,0
65323,DIY,0,0,PA,19067,190,13,13,15,213,228,1,0,0,0,0,0,0,1
65348,Art,0,0,PA,19468,194,25,23,27,185,212,2,1,0,0,0,1,0,0
65398,Cook,0,1,NY,14221,142,11,11,15,218,233,1,0,0,0,0,0,1,0
65426,Art,0,1,NY,11753,117,1,1,15,134,149,1,1,0,0,0,0,0,0
65457,Cook,0,1,CT,6840,68,3,3,15,273,288,1,0,0,1,0,0,0,0
65492,DIY,0,0,VT,5602,56,79,29,136,120,256,12,1,1,5,3,1,0,1
65499,DIY,0,1,CT,6320,63,5,5,15,196,211,1,0,0,1,0,0,0,0
65509,DIY,0,1,CT,6851,68,21,9,36,63,99,3,0,1,1,1,0,0,0
65514,Art,1,1,PA,18977,189,59,9,114,213,327,10,4,2,1,0,1,0,2
65553,Cook,0,1,NJ,7078,70,15,15,15,31,46,1,1,0,0,0,0,0,0
65625,DIY,0,1,NY,11214,112,9,9,15,125,140,1,0,0,0,1,0,0,0
65683,Art,0,0,NJ,8010,80,41,25,74,257,331,7,3,1,1,1,0,1,0
65746,Art,0,1,MD,21043,210,11,11,15,110,125,1,1,0,0,0,0,0,0
65753,Cook,0,0,NY,11236,112,17,17,15,14,29,1,0,0,0,0,0,0,1
65764,Cook,0,1,NJ,7621,76,9,9,15,295,310,1,0,0,0,1,0,0,0
65882,DIY,1,0,PA,18940,189,29,9,53,272,325,5,2,1,1,1,0,0,0
65892,Cook,0,0,MD,20901,209,57,13,114,321,435,10,4,0,0,2,1,1,2
65903,Art,0,1,PA,19606,196,3,3,15,68,83,1,0,0,0,1,0,0,0
66009,Art,0,0,NY,11510,115,27,27,15,239,254,1,0,0,0,0,0,1,0
66064,Art,0,1,MA,2067,20,37,3,130,217,347,12,5,2,2,1,0,1,1
66152,Art,0,1,NH,3053,30,13,13,15,261,276,1,0,0,1,0,0,0,0
66203,Art,0,0,NY,12117,121,37,9,132,188,320,12,2,1,3,2,2,2,0
66224,Art,0,0,PA,15632,156,21,9,48,102,150,4,0,1,1,1,1,0,0
66278,Cook,0,1,NY,11201,112,33,9,127,273,400,10,1,0,1,1,0,3,4
66326,Art,0,1,NY,10520,105,7,7,15,260,275,1,0,1,0,0,0,0,0
66396,Cook,0,1,NY,11706,117,55,19,93,132,225,8,0,5,1,0,1,0,1
66443,DIY,0,1,NY,10914,109,27,9,95,241,336,8,1,1,1,0,2,1,2
66470,DIY,0,1,CT,6490,64,67,25,121,294,415,11,3,2,2,1,0,1,2
66489,DIY,0,0,NY,10314,103,37,9,117,249,366,10,3,1,4,0,0,1,1
66514,Cook,0,1,NJ,7470,74,31,23,25,300,325,2,0,1,1,0,0,0,0
66523,Art,0,0,NY,13326,133,41,17,71,167,238,6,1,0,1,2,0,1,1
66527,Cook,0,1,NJ,7836,78,11,11,15,65,80,1,0,0,1,0,0,0,0
66590,DIY,0,1,NJ,8850,88,9,9,15,183,198,1,0,0,1,0,0,0,0
66624,Cook,0,1,RI,2920,29,31,7,61,18,79,5,1,1,1,0,0,1,1
66633,Art,0,1,MA,1852,18,49,25,82,92,174,8,2,3,2,0,0,1,0
66712,Cook,0,1,NJ,7036,70,13,7,23,168,191,2,2,0,0,0,0,0,0
66716,DIY,1,0,NY,11209,112,33,3,110,186,296,9,0,1,2,1,2,1,2
66722,Art,0,1,NY,10573,105,27,3,95,255,350,9,3,0,4,0,0,2,0
66731,Cook,0,0,PA,18471,184,35,27,29,151,180,2,0,0,1,0,0,0,1
66761,Cook,0,1,NY,11230,112,53,29,108,75,183,10,2,2,2,1,0,0,3
66772,DIY,0,1,MD,21146,211,13,9,26,23,49,2,0,0,1,1,0,0,0
66780,Art,1,0,NJ,7202,72,13,3,59,106,165,5,2,0,1,0,1,0,1
66792,DIY,0,0,NY,11803,118,77,21,145,69,214,12,1,0,5,3,1,0,2
66845,DIY,0,1,PA,19063,190,29,29,15,240,255,1,0,0,1,0,0,0,0
66928,Cook,0,1,NJ,7502,75,23,7,33,66,99,3,1,0,1,0,0,0,1
66933,DIY,0,0,NY,14072,140,45,15,65,148,213,6,2,0,2,2,0,0,0
