Student_ID,Email,Class_Hours,Female,Age,Income,GPA
99,1,41,1,25,75,3.28
100,1,113,1,23,98,4.0
101,1,92,1,39,86,3.45
102,1,103,0,32,95,4.0
103,1,65,1,40,105,3.89
104,1,55,1,27,75,4.0
105,0,103,0,34,88,3.57
106,1,74,1,24,90,4.0
107,1,91,1,25,85,4.0
108,1,89,0,30,105,4.0
109,1,91,1,26,82,4.0
110,0,29,1,23,84,3.15
111,1,64,1,25,82,4.0
112,1,47,1,21,107,4.0
113,1,79,0,34,85,4.0
114,1,121,0,30,98,4.0
115,0,68,0,22,120,3.6
116,1,109,0,23,91,4.0
117,1,63,0,22,108,3.26
118,1,123,1,32,115,4.0
119,1,77,0,22,106,3.88
120,0,58,1,35,92,3.32
121,1,102,0,20,101,4.0
122,1,80,0,25,74,4.0
123,1,67,1,38,81,4.0
124,0,30,1,34,84,4.0
125,1,59,1,21,120,4.0
126,1,108,1,36,81,4.0
127,1,117,0,30,80,3.02
128,1,48,0,37,77,4.0
129,0,82,1,32,100,4.0
130,1,41,1,34,94,4.0
131,1,68,1,40,107,4.0
132,1,82,1,25,101,4.0
133,1,103,1,32,73,3.72
134,1,39,1,29,81,4.0
135,0,104,0,21,111,4.0
136,1,56,1,20,89,4.0
137,1,113,1,22,109,3.93
138,1,93,0,33,90,4.0
139,1,67,1,31,78,4.0
140,0,94,0,31,88,4.0
141,1,54,0,21,78,3.81
142,1,55,1,29,84,3.54
143,1,44,1,38,95,4.0
144,0,65,1,28,99,4.0
145,1,39,1,32,70,2.81
146,1,75,1,36,92,3.29
147,1,31,0,36,84,3.08
148,1,50,1,30,83,4.0
149,1,126,1,37,94,4.0
150,0,100,1,28,84,4.0
151,1,61,0,38,111,4.0
152,1,109,1,25,109,4.0
153,1,104,1,26,109,4.0
154,1,51,1,21,85,3.27
155,0,58,0,36,79,3.55
156,1,124,1,28,93,3.96
157,1,103,0,25,90,3.5
158,1,104,0,25,83,3.58
159,1,85,1,38,76,3.01
160,0,87,0,37,91,3.31
161,1,84,1,31,86,3.63
162,1,107,0,32,102,4.0
163,0,96,0,29,101,3.38
164,1,43,1,28,107,3.87
165,1,91,1,38,74,2.97
166,1,95,0,23,98,4.0
167,1,42,1,28,82,4.0
168,1,73,1,27,75,4.0
169,1,122,1,30,86,4.0
170,1,130,1,29,107,3.74
171,0,97,0,30,87,3.14
172,1,55,1,23,114,3.55
173,1,75,1,30,100,4.0
174,1,54,1,25,86,4.0
175,0,89,0,24,108,3.17
176,1,110,1,21,98,3.36
177,0,107,0,35,79,3.76
178,1,123,1,29,118,3.7
179,1,45,0,33,96,4.0
180,1,49,1,35,92,4.0
181,1,121,1,34,80,4.0
182,1,121,1,29,109,4.0
183,1,78,0,28,99,3.5
184,0,69,0,28,101,4.0
185,1,88,1,33,85,4.0
186,1,93,0,30,104,3.78
187,0,53,0,37,105,4.0
188,1,74,1,37,83,4.0
189,1,90,1,23,72,3.12
190,1,59,1,23,100,4.0
191,1,126,1,33,70,3.5
192,1,62,0,26,94,4.0
193,0,74,0,20,86,2.9
194,1,90,0,38,109,4.0
195,1,77,1,25,87,3.17
196,0,50,1,39,108,3.3
197,0,79,0,34,85,4.0
198,0,38,0,35,106,4.0
199,1,77,0,24,120,4.0
200,0,44,0,25,77,3.81
201,0,39,0,30,96,4.0
202,1,131,1,23,120,4.0
203,1,103,1,26,93,3.68
204,1,48,0,26,93,3.0
205,1,125,0,23,103,3.49
206,1,57,1,24,93,3.5
207,1,53,1,36,68,3.45
208,1,50,0,23,108,4.0
209,1,101,1,21,64,4.0
210,1,90,1,33,86,4.0
211,1,46,1,40,109,4.0
212,1,35,0,27,87,3.74
213,1,81,0,22,82,3.28
214,1,102,1,31,104,4.0
215,0,102,0,38,80,4.0
216,1,79,1,36,75,3.78
217,1,102,1,32,96,4.0
218,0,93,0,26,89,3.16
219,0,80,0,31,75,3.59
220,1,69,0,22,101,3.78
221,0,39,0,34,99,3.69
222,1,98,1,34,87,4.0
223,0,96,1,39,88,3.1
224,1,57,1,25,99,4.0
225,1,85,1,20,109,3.2
226,1,74,1,31,88,4.0
227,1,56,0,34,101,4.0
228,0,51,1,36,100,4.0
229,1,58,0,24,104,3.42
230,1,74,0,25,93,4.0
231,1,69,0,30,79,4.0
232,1,86,1,27,86,3.23
233,0,34,1,37,97,3.32
234,1,97,1,29,117,3.88
235,0,25,1,36,85,3.28
236,0,51,0,32,103,3.25
237,1,84,1,35,87,4.0
238,1,101,1,27,94,3.46
239,1,112,0,37,113,4.0
240,1,43,1,25,103,4.0
241,0,74,0,31,75,4.0
242,1,64,0,24,84,3.08
243,1,104,0,30,110,4.0
244,1,64,1,26,94,3.83
245,1,103,1,25,76,3.55
246,1,88,0,39,81,3.44
247,1,114,1,23,102,4.0
248,1,131,0,36,106,4.0
249,1,118,0,40,92,3.19
250,1,96,0,20,120,4.0
251,1,124,1,34,104,3.77
252,1,51,1,25,89,4.0
253,1,36,0,21,81,4.0
254,1,84,1,28,78,3.52
255,1,130,1,39,97,3.77
256,1,103,1,20,85,4.0
257,1,68,0,32,115,4.0
258,0,93,0,30,113,3.55
259,1,43,1,37,101,4.0
260,1,77,1,22,75,3.52
261,1,55,0,34,83,4.0
262,1,42,0,34,110,3.86
263,1,60,1,33,84,4.0
264,0,98,1,39,108,4.0
265,0,80,0,36,99,4.0
266,1,37,0,21,93,4.0
267,0,63,0,29,82,3.74
268,1,103,0,28,91,3.14
269,1,127,1,26,95,3.41
270,1,122,1,29,106,3.66
271,0,21,0,28,80,2.92
272,1,54,0,29,88,4.0
273,0,45,0,40,93,3.66
274,1,73,0,22,101,3.2
275,1,96,1,38,79,4.0
276,1,48,1,30,74,4.0
277,0,115,0,32,101,3.92
278,0,94,0,37,71,3.2
279,1,76,0,27,110,3.4
280,1,89,0,29,90,3.81
281,0,74,0,28,70,4.0
282,1,89,1,27,85,3.33
283,1,120,1,39,97,4.0
284,1,55,1,37,85,4.0
285,1,102,1,22,92,4.0
286,1,50,1,22,102,4.0
287,1,80,1,29,89,4.0
288,1,95,1,22,79,4.0
289,1,38,1,32,88,4.0
290,1,52,1,23,112,4.0
291,1,51,1,30,116,4.0
292,1,67,1,20,64,4.0
293,1,97,0,26,107,4.0
294,1,133,1,34,96,4.0
295,1,64,1,30,105,4.0
296,1,49,1,40,84,4.0
297,0,61,0,37,67,4.0
298,0,42,1,27,100,4.0
299,0,23,0,21,79,2.84
300,0,76,1,37,73,4.0
301,1,117,1,38,74,4.0
302,0,110,1,36,100,4.0
303,1,47,1,23,94,4.0
304,1,48,0,40,103,3.11
305,1,83,0,25,101,3.9
306,1,68,0,34,86,4.0
307,0,93,1,38,91,4.0
308,1,81,1,25,85,3.41
309,1,36,0,38,89,4.0
310,1,62,1,26,78,4.0
311,1,124,1,40,97,4.0
312,1,89,1,26,107,4.0
313,1,108,1,39,81,2.94
314,0,68,0,21,110,4.0
315,0,91,0,34,94,4.0
316,0,43,0,31,95,4.0
317,1,103,1,30,68,4.0
318,1,106,1,24,67,3.63
319,1,46,1,34,94,4.0
320,1,57,1,24,103,4.0
321,1,79,1,31,83,4.0
322,1,100,0,25,115,4.0
323,1,97,0,39,102,4.0
324,1,98,1,21,79,4.0
325,1,102,0,24,92,4.0
326,1,88,0,25,120,4.0
327,1,87,1,28,75,3.5
328,0,27,0,25,99,3.5
329,1,52,1,30,87,4.0
330,1,87,1,37,102,4.0
331,0,100,1,34,110,3.69
332,1,110,0,32,87,4.0
333,1,110,1,22,108,4.0
334,1,89,1,34,120,4.0
335,1,64,1,23,93,3.9
336,1,80,1,36,103,3.25
337,1,34,0,25,84,4.0
338,1,90,0,28,92,3.56
339,1,44,1,27,90,4.0
340,1,53,1,37,103,4.0
341,1,100,1,23,109,4.0
342,1,38,1,31,90,4.0
343,1,95,1,23,113,3.6
344,1,102,1,34,113,3.8
345,0,104,1,38,104,4.0
346,1,39,0,29,85,4.0
347,1,32,0,30,83,3.7
348,0,95,1,39,81,3.31
349,1,66,1,30,105,3.33
350,1,115,0,30,75,4.0
351,1,57,1,32,101,3.96
352,0,76,0,34,77,3.02
353,1,47,0,22,104,4.0
354,1,74,1,36,92,3.44
355,1,125,1,29,111,4.0
356,1,94,0,21,108,3.69
357,1,107,1,36,112,4.0
358,0,51,1,28,112,3.68
359,1,122,0,22,94,3.78
360,0,82,1,33,76,4.0
361,1,43,1,38,77,3.51
362,0,22,0,38,64,3.93
363,0,23,1,39,77,3.5
364,1,40,1,37,93,3.25
365,1,119,0,20,84,4.0
366,1,71,1,28,89,4.0
367,0,56,0,36,99,3.89
368,0,65,0,27,88,4.0
369,1,73,1,32,76,4.0
370,0,48,1,32,91,3.84
371,0,33,1,27,79,4.0
372,1,45,1,38,88,3.5
373,1,98,1,30,111,3.96
374,1,71,0,29,88,3.77
375,1,128,1,40,117,4.0
376,1,85,1,30,112,3.92
377,1,81,0,24,84,4.0
378,1,120,1,30,76,3.29
379,1,80,0,36,91,3.42
380,1,88,1,36,108,4.0
381,1,71,1,36,85,4.0
382,1,104,0,34,105,3.97
383,0,66,0,25,109,3.76
384,0,80,0,37,81,4.0
385,0,64,0,38,83,3.1
386,0,79,0,24,102,4.0
387,1,116,1,23,94,4.0
388,0,64,1,40,82,4.0
389,0,47,0,37,87,4.0
390,0,80,0,38,91,4.0
391,0,109,0,38,70,3.3
392,1,105,1,31,103,3.83
393,0,54,1,33,85,3.74
394,1,116,0,31,64,2.7
395,1,70,1,21,92,4.0
396,0,115,0,35,82,2.96
397,1,57,0,30,116,4.0
398,1,131,1,33,84,4.0
399,0,31,0,30,77,4.0
400,1,104,0,30,99,4.0
401,1,106,1,23,83,4.0
402,0,87,0,26,81,3.42
403,1,113,1,23,99,4.0
404,1,75,0,24,77,3.46
405,1,38,1,39,72,4.0
406,1,72,0,23,116,3.49
407,1,99,1,25,100,3.73
408,1,98,1,32,88,3.98
409,0,45,0,32,92,4.0
410,1,63,1,23,99,4.0
411,1,85,1,36,106,3.58
412,1,99,0,36,81,3.1
413,1,115,0,25,97,3.58
414,1,44,1,26,85,3.92
415,1,122,0,39,89,3.97
416,1,126,1,37,94,3.9
417,1,38,1,34,92,4.0
418,1,88,1,22,102,3.98
419,0,84,0,28,99,4.0
420,1,80,0,31,71,3.23
421,1,89,0,24,73,3.98
422,1,81,0,29,87,4.0
423,1,70,1,32,118,3.84
424,1,43,1,27,80,3.72
425,1,56,1,36,89,3.72
426,0,93,1,37,84,3.29
427,1,58,1,26,84,3.9
428,0,105,0,37,94,3.72
429,1,78,1,22,112,3.57
430,1,78,1,37,98,3.98
431,1,117,1,23,81,3.75
432,1,59,0,22,120,3.46
433,0,42,0,33,93,3.19
434,1,129,1,29,84,4.0
435,1,93,1,38,112,4.0
436,1,51,0,27,85,4.0
437,1,56,1,26,115,3.43
438,1,111,0,30,80,3.03
439,0,85,0,29,112,3.22
440,1,49,1,27,95,4.0
441,0,114,1,34,110,4.0
442,0,74,0,35,119,3.99
443,1,128,1,37,76,4.0
444,1,68,1,39,110,4.0
445,1,81,0,25,72,4.0
446,0,37,0,34,77,3.05
447,1,71,0,28,81,2.92
448,1,51,0,34,99,3.54
449,0,53,1,30,92,3.06
450,1,63,1,40,90,4.0
451,0,52,0,35,94,3.55
452,1,131,1,39,100,4.0
453,0,31,1,37,101,3.75
454,1,83,0,38,107,3.56
455,1,101,1,36,117,3.58
456,1,99,1,29,92,3.66
457,1,108,1,25,85,4.0
458,0,100,1,27,101,4.0
459,1,125,1,20,76,3.98
460,1,107,1,30,82,3.99
461,1,116,1,30,106,3.23
462,1,85,0,31,90,4.0
463,0,82,0,39,75,2.84
464,0,68,1,38,71,4.0
465,0,53,0,23,93,4.0
466,0,58,1,27,108,3.52
467,1,75,1,28,108,4.0
468,1,67,0,27,94,4.0
469,0,82,1,36,120,3.91
470,1,56,0,30,91,3.44
471,0,73,1,31,90,3.24
472,1,115,0,37,64,3.83
473,0,61,1,36,86,3.14
474,1,58,0,23,104,4.0
475,1,75,1,34,114,4.0
476,1,115,0,29,80,4.0
477,1,126,1,26,98,3.3
478,1,125,1,21,107,4.0
479,1,59,0,30,92,3.12
480,1,68,1,27,64,3.88
481,1,128,0,25,95,4.0
482,1,67,0,34,103,4.0
483,0,37,1,35,79,4.0
484,1,60,0,25,88,4.0
485,1,124,1,21,76,3.41
486,0,60,0,37,64,3.9
487,1,127,1,20,106,3.18
488,1,47,1,39,92,3.81
489,0,103,0,33,114,3.62
490,1,46,0,26,104,4.0
491,1,55,1,25,87,3.78
492,1,93,0,20,91,4.0
493,1,80,1,25,100,4.0
494,1,103,1,23,106,4.0
495,1,131,1,32,97,4.0
496,1,45,1,23,107,3.75
497,1,55,1,31,88,4.0
498,1,95,1,32,78,3.98
499,1,119,0,26,91,4.0
500,1,108,0,21,95,2.95
501,1,73,0,21,75,3.27
502,1,104,1,21,73,4.0
503,1,57,1,35,98,3.66
504,0,26,0,26,86,3.74
505,1,86,0,36,90,3.27
506,1,111,1,29,87,3.25
507,0,70,0,29,113,3.55
508,0,84,0,30,110,4.0
509,0,63,0,34,75,4.0
510,0,72,0,25,85,3.5
511,1,120,0,22,104,3.69
512,0,74,1,31,100,4.0
513,0,26,0,27,91,3.63
514,1,107,0,29,76,4.0
515,1,93,1,33,82,3.68
516,1,105,1,30,85,3.93
517,1,124,1,32,96,4.0
518,1,66,0,31,116,4.0
519,0,72,0,35,82,3.95
520,0,79,1,34,78,3.35
521,1,68,1,31,90,3.25
522,1,121,1,34,106,4.0
523,1,97,0,37,72,4.0
524,1,106,0,29,112,3.17
525,0,103,0,28,90,4.0
526,0,49,1,35,82,4.0
527,1,103,1,32,70,3.83
528,0,99,1,21,102,3.14
529,0,106,1,38,90,4.0
530,1,79,0,21,94,3.34
531,1,80,0,35,79,4.0
532,0,32,0,35,88,2.91
533,0,106,0,39,85,4.0
534,1,85,1,21,91,3.05
535,1,87,0,32,83,3.3
536,0,31,0,29,71,3.24
537,1,96,0,27,120,3.52
538,1,37,1,22,73,3.79
539,1,124,1,31,95,3.61
540,1,114,1,30,67,4.0
541,1,47,0,22,64,3.8
542,0,83,0,32,93,4.0
543,0,83,1,35,94,3.49
544,0,106,0,35,110,3.91
545,0,97,0,38,98,3.22
546,1,131,1,28,90,4.0
547,0,56,1,39,79,3.55
548,1,50,0,37,113,4.0
549,1,94,1,26,105,3.89
550,1,103,0,23,75,4.0
551,1,63,1,29,93,3.37
552,1,54,0,28,94,2.94
553,0,102,1,32,87,4.0
554,0,100,1,32,103,4.0
555,0,48,0,35,104,4.0
556,1,117,1,30,89,3.16
557,1,49,1,22,88,4.0
558,0,41,1,37,113,4.0
559,1,68,0,26,105,3.06
560,0,109,0,39,93,3.26
561,1,96,0,22,69,4.0
562,1,76,1,39,97,4.0
563,1,54,1,22,102,4.0
564,1,100,1,25,64,4.0
565,0,82,1,21,96,3.24
566,1,130,1,34,86,4.0
567,1,110,1,37,89,4.0
568,1,45,1,29,79,4.0
569,0,95,0,39,90,4.0
570,0,55,1,32,111,4.0
571,1,127,1,33,86,3.68
572,0,28,0,37,106,3.14
573,1,57,1,26,81,3.63
574,0,76,0,27,103,4.0
575,0,32,0,38,92,3.35
576,0,60,0,38,97,4.0
577,1,83,1,40,92,3.46
578,0,68,0,38,101,3.03
579,1,75,1,23,64,3.76
580,0,106,1,36,72,4.0
581,1,86,1,28,98,3.78
582,0,110,0,40,64,4.0
583,1,49,1,29,85,3.82
584,1,62,1,31,91,3.36
585,1,91,0,31,80,2.99
586,1,62,1,26,82,4.0
587,1,71,1,22,96,3.83
588,0,115,1,38,106,4.0
589,1,86,1,36,79,3.97
590,1,66,1,23,84,3.64
591,0,97,1,36,82,3.62
592,1,32,0,33,64,2.9
593,1,91,1,28,94,4.0
594,1,49,1,25,105,4.0
595,1,54,0,37,106,4.0
596,0,28,1,34,80,3.3
597,0,107,0,31,74,3.33
598,1,40,1,32,92,3.22
599,1,88,1,22,104,3.73
600,1,59,1,29,94,3.9
601,1,75,1,24,96,4.0
602,1,87,1,24,108,4.0
603,1,78,1,33,82,4.0
604,1,107,1,38,89,3.64
605,0,116,1,28,115,3.54
606,0,53,1,24,89,3.51
607,1,34,1,33,74,3.36
608,0,109,1,37,83,4.0
609,1,126,1,35,79,3.57
610,0,69,0,37,97,4.0
611,1,78,1,31,79,4.0
612,1,48,0,35,96,3.64
613,1,78,0,23,82,4.0
614,1,61,1,27,64,4.0
615,0,120,0,28,96,3.35
616,1,52,0,30,94,4.0
617,0,62,1,39,99,3.49
618,1,94,1,37,83,4.0
619,1,64,0,23,81,3.51
620,0,72,0,23,98,3.71
621,1,134,1,27,113,4.0
622,1,86,1,26,92,4.0
623,1,123,1,32,98,3.36
624,0,27,1,38,87,3.08
625,0,32,0,39,70,3.51
626,1,128,1,33,106,3.27
627,1,52,1,37,105,4.0
628,0,98,0,30,102,4.0
629,1,79,1,24,89,4.0
630,1,78,1,30,100,4.0
631,1,100,0,31,105,4.0
632,1,108,0,35,115,4.0
633,1,129,1,24,106,4.0
634,1,60,1,27,93,3.42
635,1,100,1,27,74,3.84
636,0,59,1,39,94,4.0
637,1,106,1,29,96,4.0
638,1,53,1,35,102,4.0
639,1,82,1,35,111,3.27
640,1,55,1,25,91,4.0
641,1,75,1,31,120,4.0
642,0,87,1,38,67,3.12
643,0,47,1,30,98,3.13
644,1,99,1,39,81,3.43
645,1,79,1,24,65,4.0
646,1,43,0,21,89,4.0
647,1,70,1,38,72,4.0
648,0,108,0,37,90,3.79
649,1,128,0,40,92,4.0
650,1,76,1,34,108,4.0
651,0,25,1,39,71,3.22
652,1,51,1,37,105,3.45
653,1,113,1,37,93,4.0
654,1,99,0,31,106,3.73
655,1,61,1,28,86,3.28
656,0,56,1,39,73,2.85
657,0,98,1,29,75,3.42
658,1,73,1,31,74,4.0
659,0,100,0,29,99,4.0
660,1,70,1,31,113,4.0
661,1,105,1,29,84,4.0
662,1,80,0,21,101,4.0
663,1,82,0,38,71,4.0
664,1,94,1,29,95,3.69
665,1,82,1,32,101,4.0
666,1,75,1,23,72,2.97
667,1,62,1,20,89,4.0
668,1,133,1,25,102,4.0
669,1,115,1,34,64,3.12
670,1,91,1,22,111,3.98
671,0,30,1,38,97,3.7
672,1,50,0,24,102,3.21
673,1,117,1,24,86,4.0
674,1,121,1,24,68,4.0
675,1,54,1,20,99,4.0
676,1,104,0,35,91,4.0
677,0,83,1,38,92,3.11
678,1,68,1,32,107,3.45
679,1,78,0,24,103,4.0
680,1,104,0,26,119,4.0
681,1,44,0,30,94,4.0
682,0,41,1,39,82,3.6
683,1,40,1,25,89,4.0
684,0,113,0,35,98,4.0
685,0,84,0,29,106,4.0
686,1,83,1,26,71,4.0
687,1,105,1,29,92,4.0
688,1,134,1,21,115,3.3
689,1,50,0,36,89,4.0
690,1,51,1,25,105,3.29
691,1,67,1,35,99,4.0
692,1,126,1,21,105,4.0
693,1,74,1,39,81,3.88
694,1,108,1,24,81,3.03
695,1,55,1,38,92,3.48
696,1,77,0,36,71,3.86
697,1,46,1,39,88,3.16
698,1,77,1,30,96,3.9
699,1,67,1,35,117,3.93
700,1,91,1,27,98,4.0
701,1,111,1,24,101,3.33
702,1,130,1,29,108,4.0
703,1,61,1,23,78,3.7
704,1,108,1,40,90,4.0
705,1,126,1,22,120,3.71
706,1,46,0,32,91,4.0
707,1,96,1,33,108,4.0
708,0,85,0,31,105,3.2
709,0,48,1,33,71,4.0
710,1,37,0,22,96,4.0
711,0,48,0,31,94,3.07
712,1,94,1,26,97,4.0
713,1,54,1,39,81,4.0
714,1,58,1,35,76,2.89
715,0,91,1,39,85,3.64
716,1,72,0,21,91,4.0
717,1,44,0,26,109,4.0
718,1,77,0,24,117,4.0
719,1,136,1,20,112,4.0
720,1,59,0,25,104,3.1
721,1,54,0,34,78,2.93
722,1,52,1,25,86,4.0
723,1,64,1,30,95,4.0
724,0,76,0,38,83,3.09
725,1,131,1,34,100,4.0
726,1,94,0,28,102,4.0
727,1,78,1,27,100,4.0
728,1,73,0,29,106,3.56
729,1,35,1,24,79,3.41
730,1,40,1,33,105,4.0
731,1,111,1,27,82,4.0
732,0,69,0,37,79,3.42
733,1,39,0,35,99,4.0
734,1,67,1,32,109,3.51
735,1,71,1,27,99,3.48
736,0,99,0,24,92,3.29
737,1,77,1,36,96,3.24
738,1,110,0,30,94,4.0
739,1,94,1,24,76,4.0
740,1,35,1,24,75,3.36
741,1,129,1,23,91,4.0
742,1,55,1,36,93,4.0
743,1,58,0,25,92,3.12
744,1,116,1,31,101,4.0
745,1,55,1,29,89,4.0
746,1,74,0,32,100,4.0
747,0,108,1,38,90,4.0
748,1,102,1,37,118,3.61
749,0,54,0,29,93,3.56
750,1,101,0,20,120,4.0
751,1,116,1,29,97,4.0
752,0,63,0,32,89,3.45
753,1,83,0,31,79,2.84
754,1,127,1,33,72,4.0
755,1,125,1,23,78,3.64
756,1,79,0,33,80,3.46
757,0,36,0,24,98,3.67
758,0,91,1,35,85,3.78
759,1,60,0,27,95,3.7
760,0,94,0,34,110,4.0
761,1,68,1,21,91,3.17
762,1,111,1,28,120,4.0
763,1,69,1,34,76,4.0
764,1,123,0,25,90,4.0
765,1,49,1,36,84,4.0
766,0,36,1,33,105,4.0
767,1,100,0,32,64,3.08
768,0,57,0,27,72,2.82
769,1,79,1,30,90,3.2
770,1,127,0,32,114,3.79
771,1,94,1,29,95,4.0
772,0,85,0,34,73,4.0
773,0,24,1,29,75,3.72
774,1,106,1,24,115,4.0
775,1,70,0,24,83,4.0
776,1,76,1,20,79,3.25
777,1,118,1,26,113,4.0
778,1,87,0,35,106,4.0
779,0,123,0,36,110,3.65
780,1,107,0,24,79,4.0
781,1,99,0,39,71,3.96
782,0,83,1,30,94,4.0
783,1,78,1,38,97,4.0
784,1,43,1,34,97,4.0
785,1,42,1,34,113,3.54
786,0,26,0,22,68,4.0
787,1,131,1,24,104,4.0
788,1,65,1,20,77,4.0
789,0,95,1,34,104,4.0
790,0,82,0,27,85,4.0
791,0,77,1,36,81,3.66
792,1,91,1,27,83,4.0
793,1,62,1,36,72,4.0
794,0,110,0,23,93,3.77
795,1,123,1,23,81,4.0
796,1,98,0,27,103,4.0
797,0,108,0,28,101,3.23
798,1,48,1,27,116,4.0
799,1,45,0,35,97,4.0
800,0,81,0,22,99,4.0
801,1,117,0,27,112,3.43
802,0,55,1,37,83,4.0
803,1,85,1,21,71,4.0
804,0,28,0,39,95,4.0
805,1,127,1,40,72,4.0
806,1,113,0,22,120,4.0
807,1,72,0,26,112,3.62
808,0,125,0,27,120,4.0
809,0,33,1,36,93,3.37
810,0,71,1,32,100,3.49
811,0,28,0,33,86,3.08
812,1,69,0,35,104,4.0
813,0,41,1,22,75,3.07
814,0,48,0,37,64,2.92
815,0,112,0,34,81,3.3
816,1,74,1,32,72,3.96
817,0,61,1,38,113,4.0
818,1,103,1,34,117,4.0
819,1,98,1,24,72,3.92
820,1,133,1,29,110,3.53
821,0,80,0,30,105,3.59
822,1,102,1,21,70,3.07
823,1,72,1,39,87,3.79
824,1,52,1,23,84,4.0
825,1,79,1,34,102,3.69
826,1,71,0,30,75,4.0
827,1,77,1,21,91,4.0
828,1,99,1,38,82,3.16
829,0,63,0,37,99,3.02
830,1,127,1,30,89,4.0
831,0,116,1,25,85,3.33
832,1,86,1,22,89,3.7
833,1,96,1,27,120,4.0
834,1,75,1,25,86,4.0
835,1,68,1,30,77,4.0
836,0,119,1,39,100,3.18
837,1,35,0,32,90,2.93
838,1,70,1,38,72,3.22
839,0,46,1,33,120,3.94
840,0,94,0,30,87,3.84
841,1,55,1,37,87,4.0
842,1,118,0,29,94,3.57
843,1,78,1,37,116,4.0
844,0,107,0,26,68,3.34
845,1,129,1,23,96,3.08
846,1,116,1,37,120,4.0
847,0,84,1,32,94,3.32
848,0,35,0,38,75,3.32
849,0,111,1,39,83,3.19
850,1,112,1,21,95,4.0
851,1,68,1,30,111,4.0
852,1,75,0,28,87,3.07
853,1,46,1,33,104,4.0
854,0,81,0,36,72,2.76
855,1,45,1,26,72,4.0
856,1,98,1,31,85,4.0
857,1,105,1,34,112,4.0
858,1,68,1,23,93,3.97
859,0,117,1,36,96,4.0
860,0,101,1,32,96,3.88
861,0,77,0,39,108,4.0
862,1,123,1,27,83,4.0
863,1,121,1,22,102,4.0
864,1,99,1,30,80,3.28
865,1,57,1,22,120,3.93
866,1,80,1,39,81,3.09
867,1,116,1,21,80,3.76
868,0,86,1,35,100,4.0
869,1,84,0,30,93,3.17
870,1,126,0,27,97,4.0
871,1,40,1,21,95,4.0
